Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
29-Nov-2023,"INR 5,579,580",7.0,Ajaya Kumar Patra,29-Nov-2023 03:34 PM,WO.pdf (484.00 KB),WORK ORDER,SITA BARIK,Internal,"TAHASILDAT, EO, ME, ACCOUNTS OFFICER",Ajaya Kumar Patra,29-Nov-2023 03:29 PM,finsummary_467094.pdf (40.38 KB),1,2292055,M/S CHANDAN SECURITY SERVICE,19-Oct-2023 01:58 PM,Accepted-AOC,L1,29-Nov-2023 03:35 PM,Technical,SUMMARY,RAJESH KUMAR EKKA,08-Nov-2023 03:30 PM,,Finance,SUMMARY,Ajaya Kumar Patra,29-Nov-2023 03:24 PM,,BOQ Comparative Chart,Municipal Bodies||Bijepur NAC,2023_ORULB_95550_1,NACB/2023-24/1243,Providing Manpower Sanitation Services (Sweeper and Sweepress 39 nos) in Ward No. 01 to 11 of Bijepur NAC,1,2292055,M/S CHANDAN SECURITY SERVICE,INR,"5,579,580",SITA BARIK,Internal,"CHAIRPERSON, TAHASILDAR, EO, ME, ACCOUNTS OFFICER",RAJESH KUMAR EKKA,08-Nov-2023 03:36 PM,08-Nov-2023 03:40 PM,techsummary_467094.pdf (45.36 KB),AOC,1,ICICI BANK,Providing Manpower Sanitation Services (Sweeper and Sweepress 39 nos) in Ward No. 01 to 11 of Bijepur NAC,Service Work,Please refer Tender documents. ,NA ,"59,47,312",Human Resources Supply,NA ,Tender,90.0,7.0,Bijepur NAC,768032.0,NA ,NA ,NA ,Bijepur NAC,No ,No,1,Fee/PreQual/Technical,.pdf,"RC, PAN, GSTIN, Cost of Tender paper, EMD, Affidavit and other documents",Municipal Bodies||Bijepur NAC,NACB/2023-24/1243,2023_ORULB_95550_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,"2,00,000",Yes,fixed,,Nil,Nil,13-Oct-2023 10:00 AM,20-Oct-2023 11:00 AM,13-Oct-2023 10:00 AM,19-Oct-2023 05:00 PM,13-Oct-2023 10:00 AM ,14-Oct-2023 05:00 PM ,13-Oct-2023 10:00 AM,19-Oct-2023 05:00 PM,08-Nov-2023 03:40 PM,"20,000",0.0,Nil,Nil,No,EO Bijepur NAC,Bijepur NAC,AOC
,,,,,,,,,,,,,2,2292091,SWASTIK ENGINEERING,19-Oct-2023 02:31 PM,Accepted-AOC,L2,29-Nov-2023 03:35 PM,,,,,,,,,,,,,,,,2,2292091,SWASTIK ENGINEERING,INR,"5,582,804",,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
