EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"1,47,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"GSTIN, EMD, PAN, Valid RC",Improvement such as widening and strengthening of Ganesh Bazar to Balaram Mandir road from 0/000 km to 0/650 km in the district of Dhenkanal under state plan for the year 2023-2024,Improvement such as widening and strengthening of Ganesh Bazar to Balaram Mandir road from 0/000 km to 0/650 km in the district of Dhenkanal under state plan for the year 2023-2024,Please refer Tender documents ,NA ,"1,47,25,884",Civil Works - Roads,NA ,Tender,90.0,150.0,Dhenkanal,759001.0,NA ,NA ,NA ,CCE Dhenkanal R and B Circle Dhenkanal,No ,No,17-Aug-2023 10:00 AM,01-Sep-2023 11:30 AM,17-Aug-2023 10:00 AM,31-Aug-2023 05:30 PM,NA ,NA ,17-Aug-2023 10:00 AM,31-Aug-2023 05:30 PM,11-Sep-2023 11:00 AM,1.0,ICICI BANK,CCE Dhenkanal R and B Circle Dhenkanal,CCE Dhenkanal R and B Circle Dhenkanal,"10,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL,CCE DKL R and B/10-2023-24,2023_EICCL_92511_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,09-Nov-2023,"INR 14,725,883.86",150.0,Ashok Kumar Giri,09-Nov-2023 07:40 PM,Ganesh_Bazar.pdf (1386.00 KB),Agreement on dt. 30.10.2023,CCE Dhenkanal Circle,Internal,SE Dhenkanal Sr DAO Dhenkanal Estr Dhenkanal PA to CCE Dhenkanal Circle Estr Dhenkanal Circle,Ashok Kumar Giri,09-Nov-2023 07:36 PM,finsummary_449221.pdf (158.13 KB),Technical,Opened,Ashok Kumar Giri,01-Sep-2023 06:25 PM,technical_449221.pdf,1,2225833,Asutosh Pani,30-Aug-2023 10:36 PM,Rejected-AOC,Disqualify in transparent lottery,09-Nov-2023 07:48 PM,Finance,Opened,Lopamudra Priyadarsini,11-Sep-2023 02:28 PM,finance_449221.pdf,BOQ Comparative Chart,1.0,2225847.0,Jubaranjan Panda,INR,"12,518,474",EIC-CIVIL||SERNB-CIRCLE-DHENKANAL,2023_EICCL_92511_1,CCE DKL R and B/10-2023-24,Improvement such as widening and strengthening of Ganesh Bazar to Balaram Mandir road from 0/000 km to 0/650 km in the district of Dhenkanal under state plan for the year 2023-2024,Ashok Kumar Giri,Internal,JP Naik S Mohapatra K Behera SP Nayak,Ashok Kumar Giri,07-Sep-2023 07:16 PM,11-Sep-2023 11:00 AM,techsummary_449221.pdf (1237.45 KB),AOC
,,,,,,,,.pdf,"Affidavit, Machineries and other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2217343,Bishnu Prasad Mohanty,28-Aug-2023 10:25 PM,Rejected-AOC,Disqualify in transparent lottery,09-Nov-2023 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,2225894,CHITA RANJAN MOHANTY,30-Aug-2023 11:27 PM,Rejected-AOC,Disqualify in transparent lottery,09-Nov-2023 07:48 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,2211460,Deepak Kumar Mishra,23-Aug-2023 07:10 PM,Rejected-AOC,Disqualify in transparent lottery,09-Nov-2023 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,2225847,Jubaranjan Panda,30-Aug-2023 10:46 PM,Accepted-AOC,Work has been awarded,09-Nov-2023 07:48 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,2222952,LALIT MOHAN PAL,30-Aug-2023 06:32 PM,Rejected-AOC,Disqualify in transparent lottery,09-Nov-2023 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,2225581,PRAFULLA KUMAR JENA,30-Aug-2023 09:20 PM,Rejected-AOC,Disqualify in transparent lottery,09-Nov-2023 07:48 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,2223856,Priyabrata Tripathy,29-Aug-2023 06:32 PM,Rejected-AOC,Disqualify in transparent lottery,09-Nov-2023 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,2218448,Sakti Prasad Parida,26-Aug-2023 11:55 AM,Rejected-AOC,Disqualify in transparent lottery,09-Nov-2023 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,2221227,Sasikanta Jena,28-Aug-2023 01:24 PM,Rejected-AOC,Disqualify in transparent lottery,09-Nov-2023 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,11,2226457,SASMITA KAR,31-Aug-2023 11:52 AM,Rejected-AOC,Disqualify in transparent lottery,09-Nov-2023 07:48 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,12,2224893,SATYASUNDAR ROUT,30-Aug-2023 01:54 PM,Rejected-AOC,Disqualify in transparent lottery,09-Nov-2023 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,13,2225933,SRONIT KUMAR DHAL,30-Aug-2023 11:53 PM,Rejected-AOC,Disqualify in transparent lottery,09-Nov-2023 07:48 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,14,2218340,SUBHENDU KUMAR SARANGI,28-Aug-2023 11:22 PM,Rejected-AOC,Disqualify in transparent lottery,09-Nov-2023 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,15,2222574,Sujit Kumar Pattanaik,28-Aug-2023 11:07 PM,Rejected-AOC,Disqualify in transparent lottery,09-Nov-2023 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
