Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Paradeep Municipality,EO/PDPM/W_02/2023-24,2023_ORULB_92846_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Bid Documents,"16,930",Yes,percentage,1.0%,Nil,Nil,Construction of Paver Block Road over existing WBM road from Wooden bridge to Jagannath Mandir in ward no 03.,Construction of Paver Block Road over existing WBM road from Wooden bridge to Jagannath Mandir in ward no 03.,Please refer Tender documents. ,NA ,"16,93,042",Civil Works - Others,NA ,Tender,90.0,60.0,Paradeep Municipality,754142.0,NA ,NA ,NA ,Paradeep Municipality,No ,No,"6,000",0.0,Nil,Nil,No,22-Aug-2023 05:00 PM,02-Sep-2023 11:00 AM,22-Aug-2023 05:00 PM,31-Aug-2023 05:00 PM,22-Aug-2023 05:00 PM ,31-Aug-2023 05:00 PM ,22-Aug-2023 05:00 PM,31-Aug-2023 05:00 PM,"EO, Paradeep Municipality","EO, Paradeep Municipality",1,ICICI BANK,AOC,BASANT BISWAL,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Lalitendu Nayak,17-Nov-2023 04:56 PM,techsummary_451509.pdf (735.57 KB),1.0,2226319.0,PADAN CHARAN BEHERA,INR,"1,997,700",Municipal Bodies||Paradeep Municipality,2023_ORULB_92846_9,EO/PDPM/W_02/2023-24,Construction of Paver Block Road over existing WBM road from Wooden bridge to Jagannath Mandir in ward no 03.,1,2226319,PADAN CHARAN BEHERA,31-Aug-2023 03:44 PM,Accepted-AOC,Awarded value includes GST.,17-Nov-2023 05:01 PM,17-Nov-2023,"INR 1,997,700",60.0,Lalitendu Nayak,17-Nov-2023 05:01 PM,9.pdf (736.00 KB),Contract value includes GST.,BASANT BISWAL,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Lalitendu Nayak,17-Nov-2023 04:59 PM,finsummary_451509.pdf (735.57 KB),Finance,The bids of PADAN CHARAN BEHERA and RANJIT KUMAR NAYAK have been admitted.,Lagnajit Rout,02-Sep-2023 03:56 PM,finance_451509.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,2,2227274,RANJIT KUMAR NAYAK,31-Aug-2023 03:56 PM,Rejected-Finance,"Ranjit Kumar Nayak quoted rate higher than Padan Charan Behera, hence L2",17-Nov-2023 04:59 PM,,,,,,,,,,,,,,,,,,,,AOC
