Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Dhenkanal Municipality,DKL MPLTY/02/2023-24,2023_ORULB_92874_178,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Paver road from Sahoo Babu res. towards Saroj Das res. in ward no. 14,As per DTCN,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,120.0,45.0,Dhenkanal Municipality,759001.0,NA ,NA ,NA ,Dhenkanal Municipality,No ,No,Executive Officer,"Executive Officer Office, Dhenkanal Municipality",24-Aug-2023 11:00 AM,04-Sep-2023 11:00 AM,24-Aug-2023 11:00 AM,02-Sep-2023 05:00 PM,NA ,NA ,24-Aug-2023 11:00 AM,02-Sep-2023 05:00 PM,1.0,REVISED NIT,Other,,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,1.0,ICICI BANK,"4,195",Yes,fixed,,Nil,Nil,AOC,EO,Internal,"JE,ME",Debiprasad Rout,03-Nov-2023 04:35 PM,finsummary_453091.pdf,EO,Internal,"JE,ME",Debiprasad Rout,03-Nov-2023 01:21 PM,techsummary_453091.pdf,Municipal Bodies||Dhenkanal Municipality,2023_ORULB_92874_178,DKL MPLTY/02/2023-24,Construction of Paver road from Sahoo Babu res. towards Saroj Das res. in ward no. 14,03-Nov-2023,"INR 419,481",45.0,Debiprasad Rout,03-Nov-2023 05:47 PM,AOC-178.pdf,Finance,L1 Bidder will finalised after scrutiny of all documents,Debiprasad Rout,03-Nov-2023 12:58 PM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
