Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Municipal Bodies||Basudevpur Municipality,BSP-05-2023-02,2023_ORULB_95080_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,EO,Basudevpur Municipality,"4,000",0.0,Nil,Nil,No,"6,241",Yes,fixed,,Nil,Nil,Const of paver road from ward no.21,Construction of paver road from P.W.D road to ashram road in ward no.21,Please refer Tender documents. ,NA ,"6,24,101",Civil Works - Roads,NA ,Tender,90.0,30.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,1,ICICI BANK,04-Oct-2023 10:00 AM,11-Oct-2023 11:00 AM,04-Oct-2023 10:00 AM,10-Oct-2023 05:00 PM,NA ,NA ,04-Oct-2023 10:00 AM,10-Oct-2023 05:00 PM,AOC,1,2284062,Basanta Kumar Behera,10-Oct-2023 03:44 PM,Accepted-AOC,OK,23-Nov-2023 12:47 PM,23-Nov-2023,"INR 632,308",30.0,Samir Ranjan Dash,23-Nov-2023 12:46 PM,16.pdf (287.00 KB),OK,NIBEDITA BEHERA,Internal,"eo,me,je,acct",Samir Ranjan Dash,23-Nov-2023 11:28 AM,techsummary_465342.pdf (2709.72 KB),Municipal Bodies||Basudevpur Municipality,2023_ORULB_95080_16,BSP-05-2023-02,Const of paver road from ward no.21,NIBEDITA BEHERA,Internal,"EO,ME,JE",Samir Ranjan Dash,23-Nov-2023 11:54 AM,finsummary_465342.pdf (2709.72 KB),Finance,ok,Prashanta Nayak,13-Oct-2023 12:07 PM,finance_465342.pdf,BOQ Comparative Chart,1,2283251,Bijay Kumar Nayak,INR,"632,308",AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,AOC,2,2283251,Bijay Kumar Nayak,09-Oct-2023 06:39 PM,Accepted-AOC,OK,23-Nov-2023 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2284062,Basanta Kumar Behera,INR,"632,308",AOC
