Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"2,000",0.0,Nil,Nil,No,EO,Basudevpur Municipality,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Const of paver road from kurupa sahoo house towards manjana pokhari ward 3,Const of paver road from kurupa sahoo house towards manjana pokhari ward 3,Please refer Tender documents. ,NA ,"3,48,385",Civil Works - Roads,NA ,Tender,90.0,30.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,"3,484",Yes,fixed,,Nil,Nil,1,ICICI BANK,25-Aug-2023 04:30 PM,01-Sep-2023 11:00 AM,25-Aug-2023 04:30 PM,31-Aug-2023 05:00 PM,NA ,NA ,25-Aug-2023 04:30 PM,31-Aug-2023 05:00 PM,Municipal Bodies||Basudevpur Municipality,BSPM-01-2023-24,2023_ORULB_93068_22,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,1,2226398,ANJALI PATRA,31-Aug-2023 11:38 AM,Accepted-AOC,OK,08-Nov-2023 12:22 PM,08-Nov-2023,"INR 414,578",30.0,Manas Kumar Dandapat,08-Nov-2023 12:21 PM,22.pdf (599.00 KB),OK,NIBEDITA BEHERA,Internal,"EO,ME,JE",Manas Kumar Dandapat,06-Nov-2023 12:21 PM,techsummary_453103.pdf (10275.71 KB),Municipal Bodies||Basudevpur Municipality,2023_ORULB_93068_22,BSPM-01-2023-24,Const of paver road from kurupa sahoo house towards manjana pokhari ward 3,NIBEDITA BEHERA,Internal,"EO,ME,JE",Manas Kumar Dandapat,08-Nov-2023 11:47 AM,finsummary_453103.pdf (10275.71 KB),Finance,ok,Prashanta Nayak,04-Sep-2023 04:33 PM,finance_453103.pdf,BOQ Comparative Chart,1,2225663,SUMATI SAHU,INR,"414,578",AOC
,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2225663,SUMATI SAHU,30-Aug-2023 09:15 PM,Accepted-AOC,OK,08-Nov-2023 12:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2226398,ANJALI PATRA,INR,"456,036",AOC
