Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
CGM PC,Internal,OSD TECH PC EE DESIGN,Debapriya Tripathy,03-Jul-2023 03:17 PM,04-Jul-2023 11:00 AM,techsummary_440287.pdf (399.67 KB),1,2164264,HAREKRISHNA NAYAK,21-Jun-2023 08:33 AM,Accepted-AOC,AWARDED,08-Nov-2023 05:26 PM,IDCO||IDCO||IDCO,2023_IDCO_89637_1,PC/EST/E-31/2023-24,"Construction of RCC Road at Industrial Estate, Berhampur, Ganjam, Odisha.",Technical,The technical bids of 2nos. bidder have been opened and documents downloaded successfully.,Debapriya Tripathy,22-Jun-2023 05:14 PM,technical_440287.pdf,CGM PC,Internal,,Debapriya Tripathy,01-Sep-2023 01:11 PM,finsummary_440287.pdf (669.96 KB),08-Nov-2023,"INR 6,735,180",90.0,Debapriya Tripathy,08-Nov-2023 05:25 PM,Agreement.pdf (191.00 KB),"The Agreement made by D.H. Berhampur, vide Agreement No.05/P-1/2023-24, dt.03.10.2023.",Finance,Finance bids have been opened,Debapriya Tripathy,04-Jul-2023 11:31 AM,finance_440287.pdf,BOQ Comparative Chart,1.0,2164264.0,HAREKRISHNA NAYAK,INR,"6,735,180",AOC,"79,230",Yes,fixed,,Nil,Nil,1,ICICI BANK,IDCO||IDCO||IDCO,PC/EST/E-31/2023-24,2023_IDCO_89637_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,"RC,PAN,GST,EPF and latest challan, Experience, Affidavits and all Other document as per DTCN.","11,800",0.0,Nil,Nil,No,"Construction of RCC Road at Industrial Estate, Berhampur, Ganjam, Odisha.","Construction of RCC Road at Industrial Estate, Berhampur, Ganjam, Odisha.",Please refer Tender documents. ,NA ,"79,22,809",Civil Works - Roads,RCC ROAD ,Tender,90.0,90.0,"Industrial Estate, Berhampur, Ganjam, Odisha.",760008.0,NA ,NA ,NA ,"IDCO Towers, Janpath, Bhubaneswar-751022",No ,No,05-Jun-2023 05:00 PM,22-Jun-2023 11:30 AM,05-Jun-2023 05:00 PM,21-Jun-2023 05:00 PM,05-Jun-2023 05:00 PM ,19-Jun-2023 05:00 PM ,05-Jun-2023 05:00 PM,21-Jun-2023 05:00 PM,04-Jul-2023 11:00 AM,Chief General Manager (Planning and Coordination),"Chief General Manager (Planning and Coordination), IDCO Towers, Janpath, Bhubaneswar-751022",AOC
,,,,,,,2,2164567,UTKAL NATH,21-Jun-2023 09:12 AM,Rejected-AOC,NOT AWARDED,08-Nov-2023 05:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
