Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
SMT PUNAM PRIYADARSHINEE,Internal,,Dillip Kumar Behera,03-Nov-2023 12:32 PM,techsummary_443080.pdf (243.84 KB),Municipal Bodies||Daspalla NAC,2023_ORULB_90408_2,NAC-Daspalla/ 02/2023-24,Provision of Electrical Internal wiring at MCC,1.0,2184580.0,M/S POWER TECH,INR,"316,378.23",1,2183599,MODERN WINDING AND ELECTRICALS,23-Jul-2023 11:16 AM,Rejected-Finance,LESS,03-Nov-2023 12:37 PM,03-Nov-2023,"INR 316,378.23",60.0,Dillip Kumar Behera,03-Nov-2023 12:56 PM,2WORK.pdf (413.00 KB),Finance,OPEN,Ashok Kumar Dalabehera,21-Aug-2023 05:05 PM,finance_443080.pdf,BOQ Comparative Chart,SMT PUNAM PRIYADARSHINEE,Internal,,Dillip Kumar Behera,03-Nov-2023 12:37 PM,finsummary_443080.pdf (243.84 KB),AOC,"3,778",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,"EXECUTIVE OFFICER,NAC DASPALLA","EXECUTIVE OFFICER,NAC DASPALLA",1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,Provision of Electrical Internal wiring at MCC,Provision of Electrical Internal wiring at MCC,Please refer Tender documents. ,NA ,"3,77,097",Electrical Works,NA ,Tender,90.0,60.0,DASPALLA,752084.0,NA ,NA ,NA ,NAC OFFICE DASPALLA,No ,No,Municipal Bodies||Daspalla NAC,NAC-Daspalla/ 02/2023-24,2023_ORULB_90408_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,12-Jul-2023 09:00 AM,26-Jul-2023 11:00 AM,12-Jul-2023 11:00 AM,24-Jul-2023 05:00 PM,NA ,NA ,12-Jul-2023 11:00 AM,24-Jul-2023 05:00 PM,AOC
,,,,,,,,,,,,,,,2,2184580,M/S POWER TECH,24-Jul-2023 02:09 PM,Accepted-AOC,OK,03-Nov-2023 12:56 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,ALL TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,AOC
