S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,Installation of Rupapali-III RL Project under Dhankouda Block in Sambalpur District,Installation of Rupapali-III RL Project under Dhankouda Block in Sambalpur District,Please refer Tender documents. ,NA ,"26,42,658",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Dhankauda,768006.0,NA ,NA ,NA ,"O/o E.E. L.I. Division, Sambalpur",No ,No,04-Sep-2023 10:00 AM,15-Sep-2023 10:00 AM,04-Sep-2023 10:00 AM,14-Sep-2023 05:00 PM,04-Sep-2023 10:00 AM ,13-Sep-2023 05:00 PM ,04-Sep-2023 10:00 AM,14-Sep-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, GST Registration Certificate, PAN, Contractor RC, Affidavits, undertakings and any othe","6,000",0.0,Nil,Nil,No,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,EEOLICSBP-08/2023-24,2023_OLIC_93716_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"E.E. L.I. Division, Sambalpur","E.E. L.I. Division, Sambalpur, Binakhandi","26,427",Yes,percentage,1.0%,Nil,Nil,AOC,1.0,2252413.0,RAJU AGRAWL,INR,"2,642,657.79",04-Nov-2023,"INR 2,642,657.79",90.0,Pradeep Kumar Swain,04-Nov-2023 04:20 PM,7.pdf (507.00 KB),Agreement Done,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,2023_OLIC_93716_7,EEOLICSBP-08/2023-24,Installation of Rupapali-III RL Project under Dhankouda Block in Sambalpur District,Pradeep Kumar Swain,Internal,"Niranjan Naik, Rabindranath Nayak, Manoj Kumar Mishra",Pradeep Kumar Swain,04-Nov-2023 04:18 PM,finsummary_457995.pdf (234.79 KB),Pradeep Kumar Swain,Internal,"Niranjan Naik, Rabindranath Nayak, Manoj Kumar Mishra",Pradeep Kumar Swain,26-Sep-2023 04:47 PM,techsummary_457995.pdf (293.34 KB),1,2253618,M/S DILIP KUMAR SAHOO,13-Sep-2023 04:19 PM,Rejected-AOC,Not Award of Contract,04-Nov-2023 04:21 PM,Finance,Tender Open,Pradeep Kumar Swain,15-Sep-2023 10:44 AM,finance_457995.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2252413,RAJU AGRAWL,13-Sep-2023 07:13 AM,Accepted-AOC,Award of Contract,04-Nov-2023 04:21 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2254395,R S CONSTRUCTIONS,14-Sep-2023 08:29 AM,Rejected-AOC,Not Award of Contract,04-Nov-2023 04:21 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2254440,SRIPADA DAS,14-Sep-2023 09:32 AM,Rejected-Technical,He has uploaded in wrong Joint venture,26-Sep-2023 04:47 PM,,,,,,,AOC
