S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Tender Stage
1.0,2213582.0,RANJAN KUMAR SETHY,INR,"810,567",EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,2023_EICCL_92374_2,TCN No 22 of 2023-24,Construction of Bio Waste Containment Area at Nimapada CHC under Nimapada Block at Nimapada for the year 2023-24,Er.Rashmi Ranjan Sahoo,Internal,Sri Bikram Keshari Pattanaik Smt Smita Pal,Rasmi Ranjan Sahoo,05-Oct-2023 01:47 PM,techsummary_448804.pdf (954.10 KB),02-Nov-2023,"INR 810,567",60.0,Smita Pal,02-Nov-2023 06:59 PM,AOC.pdf (617.00 KB),The bidder won the transparency lottery among the bidder so that the work has been awarded to him,Finance,Total 18 Nos bidders are participated in the online tender,Rasmi Ranjan Sahoo,25-Aug-2023 07:43 PM,,BOQ Comparative Chart,Er.Rashmi Ranjan Sahoo,Internal,Sri Bikram Keshari Pattanaik Smt Smita Pal,Rasmi Ranjan Sahoo,05-Oct-2023 02:02 PM,finsummary_448804.pdf (2958.82 KB),1,2212642,ANIL KUMAR MOHAPATRA,22-Aug-2023 10:26 PM,Rejected-Finance,Unsuccessful bidder after transparency lottery,05-Oct-2023 02:02 PM,AOC,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GSTN,EMD,COST OF TENDER PAPER,AFFIDAVIT, ALL SCHEDULE AS PER APPROVED DTCN",Construction of Bio Waste Containment Area at Nimapada CHC under Nimapada Block at Nimapada for the year 2023-24,Construction of Bio Waste Containment Area at Nimapada CHC under Nimapada Block at Nimapada for the year 2023-24,Please refer Tender documents. ,NA ,"9,53,496",Civil Works - Buildings,NA ,Tender,90.0,60.0,Puri,752001.0,NA ,NA ,NA ,"O/o the S.E. R and B Division, Puri",No ,No,"9,535",Yes,percentage,1.0%,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,TCN No 22 of 2023-24,2023_EICCL_92374_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,15-Aug-2023 10:00 AM,24-Aug-2023 11:30 AM,15-Aug-2023 10:00 AM,23-Aug-2023 05:00 PM,NA ,NA ,15-Aug-2023 10:00 AM,23-Aug-2023 05:00 PM,1.0,ICICI BANK,Er. Rashmi Ranjan Sahoo,"O/o the S.E. R and B Division, Puri",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2203620,ANUP KUMAR DAS,16-Aug-2023 04:35 PM,Rejected-Finance,Unsuccessful bidder after transparency lottery,05-Oct-2023 02:02 PM,AOC,,,,,,,,.xls,BILL OF QUNATITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2202682,BIDUBHUSAN NAYAK,16-Aug-2023 11:49 AM,Rejected-Finance,Unsuccessful bidder after transparency lottery,05-Oct-2023 02:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2211762,BIDYUT KUMAR BISWAL,22-Aug-2023 03:16 PM,Rejected-Finance,Unsuccessful bidder after transparency lottery,05-Oct-2023 02:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2208563,BISHNU BHOI,22-Aug-2023 01:11 PM,Rejected-Finance,Unsuccessful bidder after transparency lottery,05-Oct-2023 02:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2213903,DEEPAK KUMAR MOHANTY,23-Aug-2023 02:20 PM,Rejected-Finance,Unsuccessful bidder after transparency lottery,05-Oct-2023 02:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2213916,DIPAK PRADHAN,23-Aug-2023 02:37 PM,Rejected-Finance,Unsuccessful bidder after transparency lottery,05-Oct-2023 02:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2207852,MAHEERA CONSTRUCTION,21-Aug-2023 09:56 PM,Rejected-Finance,Unsuccessful bidder after transparency lottery,05-Oct-2023 02:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2204487,PABITRA MOHAN SAHOO,21-Aug-2023 11:30 AM,Rejected-Finance,Unsuccessful bidder after transparency lottery,05-Oct-2023 02:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2213546,PRADIPTA KUMAR ACHARYA,23-Aug-2023 12:51 PM,Rejected-Finance,Unsuccessful bidder after transparency lottery,05-Oct-2023 02:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
