Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Const. of Paver Block Road and Drain from Gudipada Main Road to Balaji Durga Res at Sovarampur in Ward No 20 under Balasore Municipality,Const. of Paver Block Road and Drain from Gudipada Main Road to Balaji Durga Res at Sovarampur in Ward No 20 under Balasore Municipality,Please refer Tender documents. ,NA ,"3,48,721",Civil Works - Others,NA ,Tender,90.0,60.0,BALASORE MUNICIPALITY,756003.0,NA ,NA ,NA ,BALASORE MUNICIPALITY,No ,No,Municipal Bodies||Balasore Municipality,BM_06_2023_24,2023_ORULB_92697_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,19-Aug-2023 05:00 PM,29-Aug-2023 11:00 AM,19-Aug-2023 05:00 PM,28-Aug-2023 05:00 PM,NA ,NA ,19-Aug-2023 05:00 PM,28-Aug-2023 05:00 PM,EXECUTIVE OFFICER,BALASORE MUNICIPALITY,"3,487",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"2,000",0.0,Nil,Nil,No,1,ICICI BANK,AOC,1,2219973,JITENDRA PARMANIK,27-Aug-2023 08:07 PM,Rejected-Technical,L2,02-Nov-2023 06:00 PM,EO ME CP,Internal,,Pranabananda Sahu,02-Nov-2023 06:01 PM,finsummary_450170.pdf (398.06 KB),Finance,Tender opened successfully,Pranabananda Sahu,29-Aug-2023 02:32 PM,,BOQ Comparative Chart,02-Nov-2023,"INR 411,491",60.0,Pranabananda Sahu,02-Nov-2023 06:01 PM,WO0606.pdf (336.00 KB),EO ME CP,Internal,,Pranabananda Sahu,02-Nov-2023 06:00 PM,techsummary_450170.pdf (398.06 KB),Municipal Bodies||Balasore Municipality,2023_ORULB_92697_6,BM_06_2023_24,Const. of Paver Block Road and Drain from Gudipada Main Road to Balaji Durga Res at Sovarampur in Ward No 20 under Balasore Municipality,1.0,2219880.0,Pritam Kumar Mallik,INR,"348,337.72",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,2,ICICI NEFT/RTGS,AOC,2,2219880,Pritam Kumar Mallik,27-Aug-2023 07:12 PM,Accepted-AOC,WO,02-Nov-2023 06:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
