S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,23-Aug-2023 06:00 PM,02-Sep-2023 11:00 AM,23-Aug-2023 06:00 PM,01-Sep-2023 06:00 PM,NA ,NA ,23-Aug-2023 06:00 PM,01-Sep-2023 06:00 PM,EXECUTIVE OFFICER,GUDARI NAC,Construction of Paver road at Sudha sahi gali from communuty Toilet to Paika sahi school WN-06 of NAC Gudari under Greenfield for WBM or WMM road.,Construction of Paver road at Sudha sahi gali from communuty Toilet to Paika sahi school WN-06 of NAC Gudari under Greenfield for WBM or WMM road.,Please refer Tender documents. ,NA ,"3,34,609",Civil Works - Others,NA ,Rate Contract,90.0,30.0,GUDARI,765026.0,NA ,NA ,NA ,GUDARI NAC,No ,No,"3,346",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,LICENSE EMD PAPER COST GST CLEARANCE ETC,Municipal Bodies||Gudari NAC,GUD-NAC-02-2023-24,2023_ORULB_92898_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,"Chairperson, Gudari NAC",Internal,"Executive Officer, Gudari NAC Municipal Engineer Gudari NAC Junior Engineer, Gudari NAC Accountant Gudari NAC",Girish Chandra Mishra,16-Sep-2023 04:11 PM,finsummary_451727.pdf (1044.27 KB),Municipal Bodies||Gudari NAC,2023_ORULB_92898_10,GUD-NAC-02-2023-24,Construction of Paver road at Sudha sahi gali from communuty Toilet to Paika sahi school WN-06 of NAC Gudari under Greenfield for WBM or WMM road.,1.0,2227059.0,Balaram Panigrahi,INR,"335,652",Finance,OUT OF TWO BIDDER PRABHATA KUMAR MISHRA STOOD L1. DOWNLOADED FOR FINAL SCRUTINY.,Girish Chandra Mishra,03-Sep-2023 08:58 PM,finance_451727.pdf,BOQ Comparative Chart,26-Sep-2023,"INR 335,652",30.0,Murali Krushna Panda,23-Nov-2023 09:29 PM,10.pdf (184.00 KB),1,2227059,Balaram Panigrahi,31-Aug-2023 07:08 PM,Accepted-AOC,SELECTED IN LOTTERY PROCESS,23-Nov-2023 09:30 PM,"Chairperson, Gudari NAC",Internal,"Executive Officer, Gudari NAC Municipal Engineer Gudari NAC Junior Engineer, Gudari NAC Accountant Gudari NAC",Girish Chandra Mishra,16-Sep-2023 02:40 PM,techsummary_451727.pdf (1044.27 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2228376,PRABHATA KUMAR MISHRA,01-Sep-2023 12:46 PM,Rejected-AOC,REJECTED IN LOTTERY PROCESS,23-Nov-2023 09:30 PM,,,,,,,AOC
