Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Construction of C.C. cover slab for Drain from Trarif Khan house towards Dolo Mandap in Ward No-05 at Kamakhyanagar NAC,Construction of C.C. cover slab for Drain from Trarif Khan house towards Dolo Mandap in Ward No-05 at Kamakhyanagar NAC,Please refer Tender documents. ,NA ,"2,64,847",Civil Works - Others,NA ,Tender,30.0,NA ,Kamakhyanagar NAC,759018.0,NA ,NA ,NA ,KAMAKHYANAGAR NAC,No ,No,1.0,ICICI BANK,Municipal Bodies||Kamakhyanagar NAC,KNR-NAC-05/2025-26,2026_ORULB_125654_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Officer N.A.C.Kamakhyanaga,"Executive Officer, Kamakhyanaga NAC",07-Feb-2026 01:00 PM,17-Feb-2026 11:00 AM,07-Feb-2026 01:00 PM,16-Feb-2026 05:00 PM,NA ,NA ,07-Feb-2026 01:00 PM,16-Feb-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, GST Registration Certificate, PAN CARD and Other Documents","2,648",Yes,percentage,1.0%,Nil,Nil,"2,000",0.0,Nil,Nil,Yes,AOC,EO,Internal,,Ranjulata Das,17-Apr-2026 09:33 AM,finsummary_579814.pdf (154.05 KB),EO,Internal,,Ranjulata Das,17-Apr-2026 09:30 AM,techsummary_579814.pdf (154.05 KB),17-Apr-2026,"INR 264,847",30.0,Ranjulata Das,17-Apr-2026 09:37 AM,12.pdf (154.00 KB),L1 IN LOTTERY,1,3394398,BIRAJA PRASAD SASMAL,13-Feb-2026 10:10 PM,Rejected-Finance,NOT L1 IN LOTTERY,17-Apr-2026 09:33 AM,Municipal Bodies||Kamakhyanagar NAC,2026_ORULB_125654_12,KNR-NAC-05/2025-26,Construction of C.C. cover slab for Drain from Trarif Khan house towards Dolo Mandap in Ward No-05 at Kamakhyanagar NAC,1.0,3393180.0,SRI NARAYAN SAHOO,INR,"264,847",Finance,opening successfully,Pradata Sahoo,18-Feb-2026 11:00 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit and other documents as per DTCN,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,3395816,DILESWAR GARANAYAK,14-Feb-2026 10:51 PM,Rejected-Finance,NOT L1 IN LOTTERY,17-Apr-2026 09:33 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,3396150,JAJNESWAR NAIK,15-Feb-2026 02:36 PM,Rejected-Finance,NOT L1 IN LOTTERY,17-Apr-2026 09:33 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,3396149,NAROTTAM MOHANTY,14-Feb-2026 07:31 PM,Rejected-Finance,NOT L1 IN LOTTERY,17-Apr-2026 09:33 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,3393960,NETRANANDA SAHOO,13-Feb-2026 03:47 PM,Rejected-Finance,NOT L1 IN LOTTERY,17-Apr-2026 09:33 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,3398968,NIMAIN CHARAN TARAI,16-Feb-2026 03:17 PM,Rejected-Finance,NOT L1 IN LOTTERY,17-Apr-2026 09:33 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,3396380,NIRUPAMA ROUL,16-Feb-2026 09:07 AM,Rejected-Finance,NOT L1 IN LOTTERY,17-Apr-2026 09:33 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,3396875,Rashmi Ranjan Behera,15-Feb-2026 03:42 PM,Rejected-Finance,NOT L1 IN LOTTERY,17-Apr-2026 09:33 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,3397151,SABITRI SAHOO,16-Feb-2026 12:16 PM,Rejected-Finance,NOT L1 IN LOTTERY,17-Apr-2026 09:33 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,3397493,SAROJ KUMAR BISWAL,15-Feb-2026 11:52 PM,Rejected-Finance,NOT L1 IN LOTTERY,17-Apr-2026 09:33 AM,,,,,,,,,,,,,,,,AOC
