EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"3,55,579",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Liscence, pancard, GSTIN, Affidavits and other documents as per DTCN",Project Administrartor,ITDA Sundargarh,ST and SC Development Deptt||ITDA Sundergarh,ITDASNG-05/2025-26,2025_STSCD_121904_22,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Construction of Teaching and Non Teaching Staff Quarter for Govt SSD High School Gopalpur New Campus in Hemgir Block,Construction of Teaching and Non Teaching Staff Quarter for Govt SSD High School Gopalpur New Campus in Hemgir Block,Please refer Tender documents. ,NA ,"3,55,57,902",Civil Works - Buildings,NA ,Tender,90.0,330.0,Sundargarh,770001.0,NA ,NA ,NA ,ITDA Sundargarh,No ,No,28-Nov-2025 11:00 AM,17-Dec-2025 11:00 AM,28-Nov-2025 11:00 AM,16-Dec-2025 05:00 PM,NA ,NA ,28-Nov-2025 11:00 AM,16-Dec-2025 05:00 PM,03-Feb-2026 11:00 AM,AOC,Technical,Tender Status,LAXMAN SAHOO,02-Feb-2026 01:23 PM,technical_567001.pdf,COLLECTOR SUNDARGARH,Internal,"AEE, ITDA, SE, MI Division and PA, ITDA, Sundargarh",LAXMAN SAHOO,13-Feb-2026 06:28 PM,finsummary_567001.pdf (565.13 KB),Finance,Tender status,Sudam Chandra Patel,05-Feb-2026 11:57 AM,finance_567001.pdf,BOQ Comparative Chart,COLLECTOR SUNDARGARH,Internal,"AEE, ITDA, SE, MI Division, PA, ITDA, Sundargarh",LAXMAN SAHOO,02-Feb-2026 01:29 PM,03-Feb-2026 11:00 AM,techsummary_567001.pdf (528.15 KB),07-Apr-2026,"INR 30,227,772",330.0,LAXMAN SAHOO,13-Apr-2026 12:35 PM,GopalpurSQ.pdf (347.00 KB),AOC,ST and SC Development Deptt||ITDA Sundergarh,2025_STSCD_121904_22,ITDASNG-05/2025-26,Construction of Teaching and Non Teaching Staff Quarter for Govt SSD High School Gopalpur New Campus in Hemgir Block,1.0,3303582.0,M/S. MAA TARA CONSTRUCTION,INR,"30,227,772",1,3298172,ARIA INFRA PROJECTS PRIVATE LIMITED,12-Dec-2025 04:29 PM,Rejected-AOC,Not qualified,13-Apr-2026 12:35 PM,AOC
,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3288849,BHABANI SHANKAR PATEL,11-Dec-2025 09:37 PM,Rejected-AOC,Not qualified,13-Apr-2026 12:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3287176,DIBYA SHANKAR BEHERA,16-Dec-2025 12:55 AM,Rejected-AOC,Not qualified,13-Apr-2026 12:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3308082,MANOJ KUMAR PATTANAIK,16-Dec-2025 03:10 PM,Rejected-AOC,Not qualified,13-Apr-2026 12:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3308234,MOHIT PATEL,16-Dec-2025 03:41 PM,Rejected-AOC,Not qualified,13-Apr-2026 12:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3303582,M/S. MAA TARA CONSTRUCTION,15-Dec-2025 06:51 PM,Accepted-AOC,1st lowest in lottery,13-Apr-2026 12:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3305240,Nikhil Agrawal,16-Dec-2025 03:14 PM,Rejected-AOC,Not qualified,13-Apr-2026 12:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3296071,PAWAN KUMAR AGRAWAL,16-Dec-2025 02:52 PM,Rejected-AOC,Not qualified,13-Apr-2026 12:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3298486,PRASANTA KUMAR BISI,13-Dec-2025 06:14 PM,Rejected-AOC,Not qualified,13-Apr-2026 12:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3301581,PRITAM PRATAP NAIK,15-Dec-2025 12:25 PM,Rejected-AOC,Not qualified,13-Apr-2026 12:35 PM,AOC
