Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Name,Address,Tender Stage
20-Apr-2026,"INR 7,985,527.491",270.0,Kamal Lochan Tudu,20-Apr-2026 08:55 PM,Pro5.pdf (9702.00 KB),1.0,3396545.0,BIKRAM KUMAR SENAPATI,INR,"7,985,527.491",ST and SC Development Deptt||ITDA Baripada,2026_STSCD_125024_15,ITDABPD-05/2025-26,"Construction of 40 seated new Hostel Building at Hatsahi PSH, under Rasgobindpur Block.",1,3396545,BIKRAM KUMAR SENAPATI,15-Feb-2026 12:12 PM,Accepted-AOC,Awarded through transparent lottery system,20-Apr-2026 08:55 PM,Technical,Subject to verification of original document,SURAI MURMU,17-Feb-2026 12:15 PM,,COLLECTOR AND DM MAYURBHANJ,Internal,PA ITDA AND OTHERS,Kamal Lochan Tudu,20-Apr-2026 08:51 PM,finsummary_577601.pdf (9701.92 KB),Finance,Subject to verification of Documents,Kamal Lochan Tudu,20-Apr-2026 12:16 PM,,BOQ Comparative Chart,"Collector and District Magistrate, Mayurbhanj",Internal,PA ITDA and Others,SURAI MURMU,23-Feb-2026 09:02 PM,25-Feb-2026 01:00 PM,techsummary_577601.pdf (1123.75 KB),AOC,"80,000",Yes,fixed,,Nil,Nil,"Construction of 40 seated new Hostel Building at Hatsahi PSH, under Rasgobindpur Block.","Construction of 40 seated new Hostel Building at Hatsahi PSH, under Rasgobindpur Block.",B AND A ,NA ,"79,93,521",Civil Works - Buildings,NA ,Tender,90.0,NA ,BARIPADA,757002.0,NA ,NA ,NA ,ITDA BARIPADA,No ,No,1.0,CORRIGENDUM,Other,,ST and SC Development Deptt||ITDA Baripada,ITDABPD-05/2025-26,2026_STSCD_125024_15,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"GST, PAN and Contractor RC, Affidavit, No Litigation, No relation Certificate and any other document",27-Jan-2026 10:00 AM,17-Feb-2026 11:00 AM,27-Jan-2026 10:00 AM,16-Feb-2026 05:30 PM,NA ,NA ,27-Jan-2026 10:00 AM,16-Feb-2026 05:30 PM,25-Feb-2026 01:00 PM,1.0,ICICI BANK,PA ITDA BARIPADA,"MURGABADI, BARIPADA",AOC
,,,,,,,,,,,,,,,2,3395229,DIPTIMAYA BARIK,13-Feb-2026 04:54 PM,Rejected-AOC,Not Qualified in transparent lottery system,20-Apr-2026 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,3,3391797,HRUDANANDA BEHERA,16-Feb-2026 12:55 AM,Rejected-AOC,Not Qualified in transparent lottery system,20-Apr-2026 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3396045,JASHABANTA BHOI,16-Feb-2026 01:04 PM,Rejected-AOC,Not Qualified in transparent lottery system,20-Apr-2026 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3395725,KUMAR SANAM NAYAK,14-Feb-2026 05:19 PM,Rejected-AOC,Not Qualified in transparent lottery system,20-Apr-2026 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3395549,LALIT KUMAR BEHERA,16-Feb-2026 12:36 PM,Rejected-AOC,Not Qualified in transparent lottery system,20-Apr-2026 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3391464,RAJIB AGARWAL,12-Feb-2026 05:23 PM,Rejected-AOC,Not Qualified in transparent lottery system,20-Apr-2026 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3381652,Sabya Sachi Roul,14-Feb-2026 06:34 PM,Rejected-AOC,Not Qualified in transparent lottery system,20-Apr-2026 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3399228,SATYANARAYAN PANDA,16-Feb-2026 04:16 PM,Rejected-AOC,Not Qualified in transparent lottery system,20-Apr-2026 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3395958,SIBAYA SAMBIT NAYAK,16-Feb-2026 10:00 AM,Rejected-AOC,Not Qualified in transparent lottery system,20-Apr-2026 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,11,3396614,SRI ANIRUDHA BEHERA,15-Feb-2026 12:56 PM,Rejected-AOC,Not Qualified in transparent lottery system,20-Apr-2026 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,3396064,SRITAMRAJ SAHA,16-Feb-2026 01:59 PM,Rejected-AOC,Not Qualified in transparent lottery system,20-Apr-2026 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,13,3395824,SUCHARITA SETHI,16-Feb-2026 09:10 AM,Rejected-AOC,Not Qualified in transparent lottery system,20-Apr-2026 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
