Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Project Administrator, ITDA Kuchinda","AT/PO-Kuchinda, Ps-Kuchinda, Dist.Sambalpur, Pin-768222",ST and SC Development Deptt||ITDA Kuchinda,ITDAKCD-01/2025-26,2025_STSCD_120385_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,080",0.0,Nil,Nil,No,1.0,ICICI BANK,31-Oct-2025 09:00 AM,10-Nov-2025 10:00 AM,31-Oct-2025 09:00 AM,08-Nov-2025 10:00 AM,31-Oct-2025 09:00 AM ,08-Nov-2025 10:00 AM ,31-Oct-2025 09:00 AM,08-Nov-2025 10:00 AM,"16,800",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,As per DTCN,Construction of Additional Classroom at Boxma Primary School,Construction of Additional Classroom at Boxma Primary School,Please refer Tender documents. ,NA ,"16,78,826",Civil Works - Buildings,NA ,Tender,90.0,120.0,KUCHINDA,768222.0,NA ,NA ,NA ,"O/o the Project Administrator, ITDA Kuchinda",No ,No,AOC,1,3192083,AMIT PRATAP SINGH,07-Nov-2025 04:54 PM,Accepted-AOC,Lottery Winner,08-Apr-2026 05:36 PM,21-Feb-2026,"INR 1,427,170",120.0,HEMASAGAR BHOI,08-Apr-2026 05:36 PM,BoxmaPri.pdf (334.00 KB),"Collector, Sambalpur",Internal,"PA ITDA Kuchinda Superintending Engineer, RWD, Kuchinda AEE, ITDA, Kuchinda",HEMASAGAR BHOI,22-Jan-2026 07:14 PM,techsummary_560217.pdf (408.68 KB),ST and SC Development Deptt||ITDA Kuchinda,2025_STSCD_120385_3,ITDAKCD-01/2025-26,Construction of Additional Classroom at Boxma Primary School,"Collector, Sambalpur",Internal,"PA ITDA Kuchinda Superintending Engineer, RWD, Kuchinda AEE, ITDA, Kuchinda",HEMASAGAR BHOI,31-Jan-2026 12:23 PM,finsummary_560217.pdf (9184.22 KB),Finance,The tender has been successfully opened,HEMASAGAR BHOI,22-Jan-2026 06:20 PM,finance_560217.pdf,BOQ Comparative Chart,1.0,3192083.0,AMIT PRATAP SINGH,INR,"1,427,170",AOC
,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,As per BOQ,,,,,,,,,,,,,,,,,,,AOC,2,3191820,BHESAJA KUMAR PATTA,07-Nov-2025 04:53 PM,Rejected-AOC,Lottery Losser,08-Apr-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3189777,Dillip Kumar Gidhi,06-Nov-2025 04:38 PM,Rejected-AOC,Lottery Losser,08-Apr-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3195788,KULAMANI SAHANSIA,08-Nov-2025 02:07 AM,Rejected-Technical,non submission of ESI Regd. Certificate,22-Jan-2026 07:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
