Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,OPEN SUCCESSFULLY,Pradata Sahoo,17-Feb-2026 04:37 PM,,BOQ Comparative Chart,1.0,3394436.0,BIRAJA PRASAD SASMAL,INR,"133,950",Municipal Bodies||Kamakhyanagar NAC,2026_ORULB_125654_31,KNR-NAC-05/2025-26,Providing wearing coat from Rekula UP School towards Mangala Temple in Ward No-14 at Kamakhyanagar NAC,1,3398563,ANTARYAMI SAHU,16-Feb-2026 02:19 PM,Rejected-Finance,NOT L1 IN LOTTERY,20-Apr-2026 01:58 PM,20-Apr-2026,"INR 133,950",30.0,Ranjulata Das,20-Apr-2026 02:04 PM,31.pdf (147.00 KB),L1 IN LOTTERY,EO,Internal,"JE,AE AND OTHER OFFICIAL STAFF",Ranjulata Das,20-Apr-2026 01:51 PM,techsummary_579847.pdf (147.16 KB),EO,Internal,"JE,AE AND OTHER OFFICIAL STAFF",Ranjulata Das,20-Apr-2026 01:58 PM,finsummary_579847.pdf (147.16 KB),AOC,Providing wearing coat from Rekula UP School towards Mangala Temple in Ward No-14 at Kamakhyanagar NAC,Providing wearing coat from Rekula UP School towards Mangala Temple in Ward No-14 at Kamakhyanagar NAC,Please refer Tender documents. ,NA ,"1,33,950",Civil Works - Others,NA ,Tender,30.0,NA ,Kamakhyanagar NAC,759018.0,NA ,NA ,NA ,KAMAKHYANAGAR NAC,No ,No,600.0,0.0,Nil,Nil,Yes,"1,340",Yes,percentage,1.0%,Nil,Nil,07-Feb-2026 01:00 PM,17-Feb-2026 11:00 AM,07-Feb-2026 01:00 PM,16-Feb-2026 05:00 PM,NA ,NA ,07-Feb-2026 01:00 PM,16-Feb-2026 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, GST Registration Certificate, PAN CARD and Other Documents",Executive Officer N.A.C.Kamakhyanaga,"Executive Officer, Kamakhyanaga NAC",Municipal Bodies||Kamakhyanagar NAC,KNR-NAC-05/2025-26,2026_ORULB_125654_31,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,3394436,BIRAJA PRASAD SASMAL,13-Feb-2026 10:51 PM,Accepted-AOC,L1 IN LOTTERY,20-Apr-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Affidavit and other documents as per DTCN,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3395865,DILESWAR GARANAYAK,14-Feb-2026 11:22 PM,Rejected-Finance,NOT L1 IN LOTTERY,20-Apr-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3397296,JAIMINI KUMAR SAHU,16-Feb-2026 02:32 PM,Rejected-Finance,NOT L1 IN LOTTERY,20-Apr-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3397883,JAJNESWAR NAIK,16-Feb-2026 01:37 PM,Rejected-Finance,NOT L1 IN LOTTERY,20-Apr-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3397531,MANASA RANJAN KHATUA,16-Feb-2026 09:53 AM,Rejected-Finance,NOT L1 IN LOTTERY,20-Apr-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3393897,NETRANANDA SAHOO,13-Feb-2026 03:21 PM,Rejected-Finance,NOT L1 IN LOTTERY,20-Apr-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3396261,NIRUPAMA ROUL,16-Feb-2026 08:51 AM,Rejected-Finance,NOT L1 IN LOTTERY,20-Apr-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3393121,PRABIN KUMAR ROUT,12-Feb-2026 08:49 PM,Rejected-Finance,NOT L1 IN LOTTERY,20-Apr-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3395495,Rajesh Roshan Behera,14-Feb-2026 08:31 PM,Rejected-Finance,NOT L1 IN LOTTERY,20-Apr-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
