Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,tender opened,PADMINI MEHER,23-Dec-2025 10:20 AM,finance_570193.pdf,BOQ Comparative Chart,Municipal Bodies||Sambalpur Municipal Corporation,2025_ORULB_122591_12,22/SMC_SBP/2025-26,"Development and Maintenance of Potholes-free roads and Covering of slab in open drain in Poddar colony, Mungapada, Mahavir colony and Krishna nagar of Ward No.14 under Sambalpur Municipal Corporation",1.0,3305235.0,SARITA AGRAWAL,INR,"3,242,972",1,3305235,SARITA AGRAWAL,16-Dec-2025 05:35 AM,Accepted-AOC,SUCCESSFUL,18-Apr-2026 11:38 AM,18-Apr-2026,"INR 3,242,972",90.0,Rehan Khatri,18-Apr-2026 11:38 AM,22SMC12.pdf (826.00 KB),SUCCESSFUL,"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",Rehan Khatri,18-Apr-2026 11:33 AM,techsummary_570193.pdf (826.44 KB),"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",Rehan Khatri,18-Apr-2026 11:35 AM,finsummary_570193.pdf (826.44 KB),AOC,"COMMISSIONER, SMC","SAMBALPUR MUNICIPAL CORPORATION, DURGAPALI, SAMBALPUR, 768006",1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor license, Tender Fees, EMD, GST, PAN, Affidavits, Appendix etc. as per DTCN","32,430",Yes,percentage,1.0%,Nil,Nil,09-Dec-2025 11:00 AM,19-Dec-2025 11:00 AM,09-Dec-2025 11:00 AM,18-Dec-2025 05:00 PM,NA ,NA ,09-Dec-2025 11:00 AM,18-Dec-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,1,ICICI BANK,"Development and Maintenance of Potholes-free roads and Covering of slab in open drain in Poddar colony, Mungapada, Mahavir colony and Krishna nagar of Ward No.14 under Sambalpur Municipal Corporation","Development and Maintenance of Potholes-free roads and Covering of slab in open drain in Poddar colony, Mungapada, Mahavir colony and Krishna nagar of Ward No.14 under Sambalpur Municipal Corporation",Please refer Tender documents. ,NA ,"32,42,972",Civil Works - Others,NA ,Tender,120.0,90.0,SAMBALPUR MUNICIPAL CORPORATION,768006.0,NA ,NA ,NA ,SAMBALPUR MUNICIPAL CORPORATION,No ,No,Municipal Bodies||Sambalpur Municipal Corporation,22/SMC_SBP/2025-26,2025_ORULB_122591_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,3313001,SRI RAM MURTY CONSTRUCTION,18-Dec-2025 11:29 AM,Rejected-Technical,UNSUCCESSFUL,18-Apr-2026 11:33 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
