Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
City Engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,27-Apr-2026 04:43 PM,techsummary_578599.pdf (903.02 KB),1,3393908,APEX CONSTRUCTION,12-Feb-2026 04:41 PM,Rejected-Finance,other than 1st lottery winner,27-Apr-2026 04:45 PM,27-Apr-2026,"INR 4,999,081",90.0,Lipsa Parida,27-Apr-2026 04:48 PM,wo_247_25.pdf (1867.00 KB),Finance,3 bids opened successfully,Taras Marandi,13-Feb-2026 11:22 AM,finance_578599.pdf,BOQ Comparative Chart,1.0,3393312.0,BIJAY KUMAR ROUT,INR,"4,999,081",Municipal Bodies||Bhubaneswar Municipal Corporation,2026_ORULB_125314_2,BMC-EE-Tender Cell-66/2025-26 Dt. 30.01.2026,Development of Nilakantheswar Pond at Laxmisagar,City Engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,27-Apr-2026 04:45 PM,finsummary_578599.pdf (2513.84 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of all documents,"41,600",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-66/2025-26 Dt. 30.01.2026,2026_ORULB_125314_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,03-Feb-2026 10:30 AM,13-Feb-2026 11:00 AM,03-Feb-2026 10:30 AM,12-Feb-2026 05:00 PM,03-Feb-2026 10:30 AM ,07-Feb-2026 01:00 PM ,03-Feb-2026 10:30 AM,12-Feb-2026 05:00 PM,Development of Nilakantheswar Pond at Laxmisagar,Development of Nilakantheswar Pond at Laxmisagar,Please refer Tender documents. ,NA ,"41,53,440",Civil Works - Others,NA ,Tender,120.0,90.0,BMC AREA,751022.0,"Office chamber of the EE,Central Tender Cell ","Central Tender Cell, UG Floor, ICOMC Tower,Satya Nagar ",07-Feb-2026 03:30 PM ,"Central Tender Cell,BMC",No ,No,"Executive Engineer,Central Tender Cell","Central Tender Cell, UG Floor, ICOMC Tower,Satya Nagar",AOC
,,,,,,2,3393312,BIJAY KUMAR ROUT,12-Feb-2026 11:22 AM,Accepted-AOC,1st lottery winner,27-Apr-2026 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3,3391523,SK IMTIAZ ALLI,10-Feb-2026 08:07 PM,Rejected-Finance,other than 1st lottery winner,27-Apr-2026 04:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
