Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,22-Apr-2026 09:30 AM,techsummary_580383.pdf (515.05 KB),22-Apr-2026,"INR 2,192,313",30.0,Sanjeet Kumar Naik,22-Apr-2026 09:34 AM,1544.pdf (515.00 KB),1,3397242,BARENDRA KRISHNA MATAGAJSINGH,15-Feb-2026 07:47 PM,Rejected-AOC,Lottery,22-Apr-2026 09:35 AM,1.0,3398913.0,HEMANTA KUMAR TUDU,INR,"2,192,313",Finance,open,Sanjeet Kumar Naik,22-Apr-2026 09:28 AM,finance_580383.pdf,BOQ Comparative Chart,Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,22-Apr-2026 09:32 AM,finsummary_580383.pdf (515.05 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,2026_CERWI_125768_9,RWDRRP-26/25-26,Periodical maint of Dumudibeda to Chadripahadi Road for the year 2025-26 (SDBC),AOC,SERWD Rairangpur,SERWD Rairangpur,"22,030",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,tender documents as per DTCN,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,RWDRRP-26/25-26,2026_CERWI_125768_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,09-Feb-2026 06:00 PM,17-Feb-2026 11:30 AM,09-Feb-2026 06:00 PM,16-Feb-2026 05:00 PM,09-Feb-2026 06:00 PM ,15-Feb-2026 05:00 PM ,09-Feb-2026 06:00 PM,16-Feb-2026 05:00 PM,"6,000",0.0,Nil,Nil,No,Periodical maint of Dumudibeda to Chadripahadi Road for the year 2025-26 (SDBC),Periodical maint of Dumudibeda to Chadripahadi Road for the year 2025-26 (SDBC),Please refer Tender documents. ,NA ,"22,03,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Rairangpur,757043.0,NA ,NA ,NA ,SERWD Rairangpur,No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,2,3398913,HEMANTA KUMAR TUDU,16-Feb-2026 03:04 PM,Accepted-AOC,Lottery winner,22-Apr-2026 09:35 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,3,3397416,MANOJ KUMAR MANDAL,15-Feb-2026 09:26 PM,Rejected-AOC,Lottery,22-Apr-2026 09:35 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
