S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3224591.0,BHIMA MADAKAMI,INR,"228,131",Municipal Bodies||Malkangiri Municipal Council,2025_ORULB_120460_26,EOMKG/01/2025-26,"Open Space Development at Talasahi field, Ward No-02, Malkangiri Municipality",1,3227870,Amarendra Das,15-Nov-2025 04:34 PM,Rejected-AOC,Rejected,06-Apr-2026 01:14 PM,15-Jan-2026,"INR 228,131",60.0,Rajiba Lochan Nayak,06-Apr-2026 01:14 PM,26.pdf (1812.00 KB),Manoj Barik,Internal,"Executive Officer, Malkangiri Municipality, Nizarat Officer, Collectorate Malkangiri, Municipal Engineer, Malkangiri Municipality, AEE, RWSS Malkangiri, Accountant, Malkangiri Municipality",Rajiba Lochan Nayak,15-Jan-2026 05:09 PM,finsummary_560908.pdf (192.62 KB),Technical,all bidders are admitted,Rajiba Lochan Nayak,19-Nov-2025 05:33 PM,,Manoj Barik,Internal,"Executive Officer, Malkangiri Municipality, Nizarat Officer, Collectorate Malkangiri, Municipal Engineer, Malkangiri Municipality , AEE, RWSS Malkangiri, Accountant,Malkangiri Municipality",Rajiba Lochan Nayak,01-Dec-2025 04:12 PM,02-Dec-2025 10:00 AM,techsummary_560908.pdf (205.74 KB),Finance,,Rajiba Lochan Nayak,02-Dec-2025 12:50 PM,,BOQ Comparative Chart,AOC,"2,000",0.0,Nil,Nil,No,Municipal Bodies||Malkangiri Municipal Council,EOMKG/01/2025-26,2025_ORULB_120460_26,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,04-Nov-2025 10:00 AM,17-Nov-2025 11:00 AM,04-Nov-2025 10:00 AM,15-Nov-2025 05:00 PM,NA ,NA ,04-Nov-2025 10:00 AM,15-Nov-2025 05:00 PM,02-Dec-2025 10:00 AM,"Open Space Development at Talasahi field, Ward No-02, Malkangiri Municipality","Open Space Development at Talasahi field, Ward No-02, Malkangiri Municipality",NA ,NA ,"2,68,358",Civil Works - Others,NA ,Tender,180.0,60.0,Malkangiri Municipality,764045.0,NA ,NA ,NA ,Malkangiri Municipality,No ,No,"2,680",Yes,fixed,,Nil,Nil,Executive Officer,Malkangiri Municipality,1.0,Fee/PreQual/Technical,.pdf,eNoticeDTCN,AOC
,,,,,,,,,2,3224591,BHIMA MADAKAMI,15-Nov-2025 10:44 AM,Accepted-AOC,Accepted,06-Apr-2026 01:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,3,3226793,BIKASH HALDAR,15-Nov-2025 03:39 PM,Rejected-AOC,Rejected,06-Apr-2026 01:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3227458,KANCHAN DEURI,15-Nov-2025 02:00 PM,Rejected-AOC,Rejected,06-Apr-2026 01:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3226037,Pramod Kumar Panda,14-Nov-2025 10:01 PM,Rejected-AOC,Rejected,06-Apr-2026 01:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3226923,SRI NARAYAN PADHIARY,15-Nov-2025 03:41 PM,Rejected-Technical,Not submitted a valid licence having no signature of issuing authority and Contractor,01-Dec-2025 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
