Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
Pabitra Bhutia,Internal,,PRADIP KUMAR SAHA,02-Apr-2026 05:29 PM,techsummary_579989.pdf (235.47 KB),03-Apr-2026,"INR 990,000",60.0,Pranati Nanda,03-Apr-2026 01:33 PM,crematorium12.pdf (395.00 KB),1,3400039,ASWINI SINGH,17-Feb-2026 12:37 PM,Rejected-AOC,Unsuccessful,03-Apr-2026 01:33 PM,Finance,All are accepted,PRADIP KUMAR SAHA,10-Mar-2026 06:16 PM,,BOQ Comparative Chart,1.0,3400095.0,M/S MANGALA ENGINEERING CONSTRUCTION AND CO,INR,"990,000",Municipal Bodies||Talcher Municipal Council,2026_ORULB_125680_4,TCRM-12/2025-26,Renovation of Crematorium Ground in W.No.12,Pabitra Bhutia,Internal,,Pranati Nanda,03-Apr-2026 01:29 PM,finsummary_579989.pdf (235.50 KB),AOC,"10,000",Yes,fixed,,Nil,Nil,Renovation of Crematorium Ground in W.No.12,Renovation of Crematorium Ground in W.No.12,Please refer Tender documents. ,NA ,"10,00,000",Civil Works - Others,NA ,Tender,120.0,30.0,Talcher Municipality Office,759107.0,NA ,NA ,NA ,Talcher Municipality Office,No ,No,"6,000",0.0,Nil,Nil,No,"Executive Officer, Talcher Municipality","Talcher Municipality Office, Talcher Town, Dist.Angul",Municipal Bodies||Talcher Municipal Council,TCRM-12/2025-26,2026_ORULB_125680_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,07-Feb-2026 04:00 PM,18-Feb-2026 11:00 AM,07-Feb-2026 04:00 PM,17-Feb-2026 05:00 PM,NA ,NA ,07-Feb-2026 04:00 PM,17-Feb-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of T.P., EMD, Contractor License, GSTIN, PAN, Affidavit and other documents as per DTCN",1,ICICI BANK,AOC
,,,,,,,,,,,,2,3400095,M/S MANGALA ENGINEERING CONSTRUCTION AND CO,17-Feb-2026 11:08 AM,Accepted-AOC,Successful,03-Apr-2026 01:33 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2,ICICI NEFT/RTGS,AOC
