Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Tender Stage
Finance,Admittede,Rajiba Lochan Nayak,16-Feb-2026 05:04 PM,,BOQ Comparative Chart,30-Apr-2026,"INR 352,656",30.0,Rajiba Lochan Nayak,30-Apr-2026 09:34 AM,Commitee.pdf (214.00 KB),Municipal Bodies||Malkangiri Municipal Council,2026_ORULB_125329_10,EOMKG/02/2025-26,"RCC Drain Cover Plate from NH to Durga Temple, Ward No-5, Malkangiri Municipality",1.0,3394812.0,Prashanta Mandal,INR,"352,656",1,3393972,BIBEK KUMAR DEURI,12-Feb-2026 06:08 PM,Rejected-AOC,Rejected,30-Apr-2026 09:34 AM,Manoj Barik,Internal,,Rajiba Lochan Nayak,30-Apr-2026 09:25 AM,techsummary_579597.pdf (214.46 KB),Manoj Barik,Internal,,Rajiba Lochan Nayak,30-Apr-2026 09:29 AM,finsummary_579597.pdf (214.46 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,eNoticeDTCN,06-Feb-2026 10:00 AM,16-Feb-2026 11:00 AM,06-Feb-2026 10:00 AM,13-Feb-2026 05:00 PM,NA ,NA ,06-Feb-2026 10:00 AM,13-Feb-2026 05:00 PM,"4,610",Yes,fixed,,Nil,Nil,Municipal Bodies||Malkangiri Municipal Council,EOMKG/02/2025-26,2026_ORULB_125329_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"RCC Drain Cover Plate from NH to Durga Temple, Ward No-5, Malkangiri Municipality","RCC Drain Cover Plate from NH to Durga Temple, Ward No-5, Malkangiri Municipality",Please refer Tender documents. ,NA ,"4,61,773",Civil Works - Others,NA ,Tender,180.0,60.0,Malkangiri Municipality,764045.0,NA ,NA ,NA ,Malkangiri Municipality,No ,No,"2,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"Executive Officer, Malkangiri Municipality","Executive Officer, Malkangiri Municipality",AOC
,,,,,,,,,,,,,,,,,,,,,2,3394812,Prashanta Mandal,13-Feb-2026 02:28 PM,Accepted-AOC,Accepted,30-Apr-2026 09:34 AM,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,3394710,SIBA HANTAL,13-Feb-2026 02:20 PM,Rejected-AOC,Rejected,30-Apr-2026 09:34 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3395078,Sunita Kumari Sethy,13-Feb-2026 04:29 PM,Rejected-AOC,Rejected,30-Apr-2026 09:34 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
