Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Municipal Bodies||Sambalpur Municipal Corporation,2025_ORULB_120919_30,20/SMC_SBP/2025-26,"Construction of CC (Paver road ) from Rangiatikra, Sudunga to Canalpada, Maneswar Ward No-40",1.0,3256421.0,LOMAHARSA SETH,INR,"1,692,107",1,3252638,BHUMIJA CONSTRUCTION,24-Nov-2025 11:09 PM,Rejected-Technical,UNSUCCESSFUL,23-Apr-2026 10:57 AM,23-Apr-2026,"INR 1,692,107",90.0,Rehan Khatri,23-Apr-2026 11:01 AM,20SMC30.pdf (567.00 KB),SUCCESSFUL,Finance,tender opened,PADMINI MEHER,06-Dec-2025 11:10 AM,finance_563694.pdf,BOQ Comparative Chart,"Siddheshwar Baliram Bondar,IAS",Internal,"JE/AE/AEE/EE/AO/DC/COMMISSIONER,SMC",Rehan Khatri,23-Apr-2026 10:59 AM,finsummary_563694.pdf (567.41 KB),"Siddheshwar Baliram Bondar,IAS",Internal,"JE/AE/AEE/EE/AO/DC/COMMISSIONER,SMC",Rehan Khatri,23-Apr-2026 10:57 AM,techsummary_563694.pdf (567.41 KB),AOC,1.0,ICICI BANK,Municipal Bodies||Sambalpur Municipal Corporation,20/SMC_SBP/2025-26,2025_ORULB_120919_30,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"COMMISSIONER, SMC","SAMBALPUR MUNICIPAL CORPORATION, DURGAPALI, SAMBALPUR, 768006","6,000",0.0,Nil,Nil,No,"Construction of CC (Paver road ) from Rangiatikra, Sudunga to Canalpada, Maneswar Ward No-40","Construction of CC (Paver road ) from Rangiatikra, Sudunga to Canalpada, Maneswar Ward No-40",Please refer Tender documents. ,NA ,"16,92,107",Civil Works - Others,NA ,Tender,120.0,90.0,SAMBALPUR MUNICIPAL CORPORATION,768006.0,NA ,NA ,NA ,SAMBALPUR MUNICIPAL CORPORATION,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor license, Tender Fees, EMD, GST, PAN, Affidavits, Appendix etc. as per DTCN",17-Nov-2025 11:00 AM,27-Nov-2025 11:00 AM,17-Nov-2025 11:00 AM,26-Nov-2025 05:00 PM,NA ,NA ,17-Nov-2025 11:00 AM,26-Nov-2025 05:00 PM,"16,921",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,2,3246112,BIBHUTIBHUSHAN PANDA,25-Nov-2025 11:05 PM,Rejected-Technical,UNSUCCESSFUL,23-Apr-2026 10:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantity,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3256718,Kishan Sharma,26-Nov-2025 12:25 PM,Rejected-Technical,UNSUCCESSFUL,23-Apr-2026 10:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3256421,LOMAHARSA SETH,26-Nov-2025 11:31 AM,Accepted-AOC,SUCCESSFUL,23-Apr-2026 11:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3255289,NARENDRA KUMAR DASH,25-Nov-2025 07:30 PM,Rejected-Technical,UNSUCCESSFUL,23-Apr-2026 10:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3246253,NARESH SINGH,25-Nov-2025 10:20 PM,Rejected-Technical,UNSUCCESSFUL,23-Apr-2026 10:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3245904,PADMINI SINGH,22-Nov-2025 03:00 PM,Rejected-Technical,UNSUCCESSFUL,23-Apr-2026 10:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3256266,PRATAP RANJAN BABU,26-Nov-2025 10:38 AM,Rejected-Technical,UNSUCCESSFUL,23-Apr-2026 10:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3257571,RAMESH CHANDRA MAHAKUD,26-Nov-2025 03:28 PM,Rejected-Technical,UNSUCCESSFUL,23-Apr-2026 10:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3256417,RANJIT MEHER (S.T),26-Nov-2025 11:28 AM,Rejected-Technical,UNSUCCESSFUL,23-Apr-2026 10:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
