Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"ScanCopy of Licence,GST PAN,BidCost,EMD,Afidavit,NoRelation other as per DTCN","CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SAMBALPUR","SE,MID,SBP/17/2025-26",2026_CEMIB_125745_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"9,652",Yes,percentage,1.0%,Nil,Nil,10-Feb-2026 11:00 AM,21-Feb-2026 10:00 AM,10-Feb-2026 11:00 AM,20-Feb-2026 05:30 PM,NA ,NA ,10-Feb-2026 11:00 AM,20-Feb-2026 05:30 PM,1.0,ICICI BANK,Improvement to Dhaliamunda Check Dam near village Bindupur in Naktideul Block of Sambalpur District under Improvement to Check Dams 2025-26.,Improvement to Dhaliamunda Check Dam near village Bindupur in Naktideul Block of Sambalpur District under Improvement to Check Dams 2025-26.,"ScanCopy of Licence,GST PAN,BidCost,EMD,Afidavit,NoRelation other as per DTCN ",NA ,"9,65,239",Civil Works - Water Works,NA ,Tender,90.0,30.0,Sambalpur,768001.0,NA ,NA ,NA ,"SE, M.I.DIVISION, SAMBALPUR",No ,No,"SE, M.I.DIVISION, SAMBALPUR",At Motijharan PO B.S.S.Nagar Dist Sambalpur PIN 768001,"4,000",0.0,Nil,Nil,No,AOC,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SAMBALPUR",2026_CEMIB_125745_8,"SE,MID,SBP/17/2025-26",Improvement to Dhaliamunda Check Dam near village Bindupur in Naktideul Block of Sambalpur District under Improvement to Check Dams 2025-26.,SE KS NAIK,Internal,AEE DAO AE,Kundan Singh Naik,23-Mar-2026 05:33 PM,finsummary_580354.pdf (653.67 KB),Finance,Admitted,Kundan Singh Naik,23-Feb-2026 04:39 PM,,BOQ Comparative Chart,1.0,3404886.0,HARISHCHANDRA SAHOO,INR,"964,272.79",1,3403658,ASHOK KUMAR SAHOO,19-Feb-2026 10:26 PM,Rejected-AOC,Not Selected vide transparent lottery,13-Apr-2026 10:57 AM,30-Mar-2026,"INR 964,272.79",30.0,Kundan Singh Naik,13-Apr-2026 10:57 AM,8.pdf (200.00 KB),Work awarded to Sri Harishchandra Sahoo C Class Contractor,SE KS NAIK,Internal,AEE DAO AE,Kundan Singh Naik,09-Mar-2026 11:58 AM,techsummary_580354.pdf (486.95 KB),AOC
,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3405474,BALAKRISHNA SAHOO,20-Feb-2026 02:08 PM,Rejected-AOC,Not Selected vide transparent lottery,13-Apr-2026 10:57 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3403372,Birendra Kumar Sahoo,19-Feb-2026 07:29 AM,Rejected-AOC,Not Selected vide transparent lottery,13-Apr-2026 10:57 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3401267,BISWARANJAN PRADHAN,17-Feb-2026 07:42 PM,Rejected-AOC,Not Selected vide transparent lottery,13-Apr-2026 10:57 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3404886,HARISHCHANDRA SAHOO,19-Feb-2026 07:12 PM,Accepted-AOC,Selected vide transparent lottery,13-Apr-2026 10:57 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3405120,JYOTIRANJAN PRADHAN,20-Feb-2026 06:38 AM,Rejected-AOC,Not Selected vide transparent lottery,13-Apr-2026 10:57 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3396449,KAUSTAVA MANI RAUL,15-Feb-2026 10:47 AM,Rejected-AOC,Not Selected vide transparent lottery,13-Apr-2026 10:57 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3404931,KHELANIDHI PRADHAN,20-Feb-2026 07:05 AM,Rejected-AOC,Not Selected vide transparent lottery,13-Apr-2026 10:57 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3405151,KIRAN KUMAR PRADHAN,20-Feb-2026 08:58 AM,Rejected-AOC,Not Selected vide transparent lottery,13-Apr-2026 10:57 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3400179,MADHAB PRADHAN,18-Feb-2026 08:56 PM,Rejected-AOC,Not Selected vide transparent lottery,13-Apr-2026 10:57 AM,,,,,,,,,,,,,,AOC
