Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Er. Tusar Kanti Behera,Internal,,Tusar Kanti Behera,05-Apr-2026 07:53 PM,techsummary_583508.pdf (236.28 KB),06-Apr-2026,"INR 1,271,086",15.0,Tusar Kanti Behera,09-Apr-2026 08:29 PM,AOCTukuna.pdf (221.00 KB),1,3419378,ANIL KUMAR NAYAK,05-Mar-2026 11:20 AM,Accepted-AOC,Won the bid in lottery process as all the bidders quoted rates are same at par,09-Apr-2026 08:30 PM,1.0,3419378.0,ANIL KUMAR NAYAK,INR,"1,271,086",Finance,18 bidders bid the tender,Tusar Kanti Behera,07-Mar-2026 12:26 PM,finance_583508.pdf,BOQ Comparative Chart,Er. Tusar Kanti Behera,Internal,,Tusar Kanti Behera,06-Apr-2026 04:08 PM,finsummary_583508.pdf (236.27 KB),CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,2026_CERWI_126735_6,17/EE/RWD/AND/2025-26,Periodical Maintenance of Tukuna to Ambo Road Pot holes repair and SDBC from 0/000km to 1/500km for the year 2025-26,AOC,Periodical Maintenance of Tukuna to Ambo Road Pot holes repair and SDBC from 0/000km to 1/500km for the year 2025-26,Periodical Maintenance of Tukuna to Ambo Road Pot holes repair and SDBC from 0/000km to 1/500km for the year 2025-26,Please refer tender documents ,NA ,"12,71,086",Civil Works - Roads,NA ,Tender,90.0,15.0,Salapada,758020.0,NA ,NA ,NA ,"RW Division, Anandapur",No ,No,"12,711",Yes,fixed,,Nil,Nil,27-Feb-2026 05:30 PM,06-Mar-2026 11:30 AM,27-Feb-2026 05:30 PM,05-Mar-2026 05:00 PM,27-Feb-2026 05:30 PM ,05-Mar-2026 10:00 AM ,27-Feb-2026 05:30 PM,05-Mar-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, Registration Certificate, GSTIN, PAN, Affidavits etc",CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,17/EE/RWD/AND/2025-26,2026_CERWI_126735_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,Executive Engineer,"O/o the Superintending Engineer, R.W. Division, Anandapur",AOC
,,,,,,,,,,,,2,3419518,ANIL NAIK,05-Mar-2026 11:54 AM,Rejected-AOC,Not win in lottery process,09-Apr-2026 08:30 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,AOC
,,,,,,,,,,,,3,3418505,DURYODHAN SAHOO,04-Mar-2026 05:55 PM,Rejected-AOC,Not win in lottery process,09-Apr-2026 08:30 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4,3418940,GITA RANI SAHOO,05-Mar-2026 12:38 AM,Rejected-AOC,Not win in lottery process,09-Apr-2026 08:30 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,5,3420376,JHUMALATA MALIK,05-Mar-2026 03:32 PM,Rejected-AOC,Not win in lottery process,09-Apr-2026 08:30 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,6,3418869,KABIRANJAN SAHOO,04-Mar-2026 09:37 PM,Rejected-AOC,Not win in lottery process,09-Apr-2026 08:30 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,7,3418031,KABITA MOHANTY,03-Mar-2026 07:37 PM,Rejected-AOC,Not win in lottery process,09-Apr-2026 08:30 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,8,3419008,KAPILA CHARAN MALIK,04-Mar-2026 11:10 PM,Rejected-AOC,Not win in lottery process,09-Apr-2026 08:30 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,9,3420155,NARAYANA JENA,05-Mar-2026 02:34 PM,Rejected-AOC,Not win in lottery process,09-Apr-2026 08:30 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,10,3420123,PRAVAT KUMAR PANDA,05-Mar-2026 02:22 PM,Rejected-AOC,Not win in lottery process,09-Apr-2026 08:30 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
