Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,"11 nos of Bidders participated for the project and submitted Documents, Hence accepted for evaluation.",Jayanta Kumar Maitra,02-Jan-2026 12:28 PM,finance_571004.pdf,BOQ Comparative Chart,22-Apr-2026,"INR 1,081,112.69",60.0,Jayanta Kumar Maitra,22-Apr-2026 04:19 PM,ProceedingPMNo05Year25And26.pdf (9079.00 KB),Municipal Bodies||Puri Municipality,2025_ORULB_122921_11,P.M. 05/2025-26,Construction of C.C Road from Hatisala Road to Sandha chhak back side of Nigamananda Ashram in ward No-05,1.0,3331669.0,RAJA KISHORE DAS,INR,"1,081,112.69",1,3336506,ASIT KUMAR MEKAP,29-Dec-2025 01:43 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,22-Apr-2026 04:16 PM,ADMINISTRATOR,Internal,,Jayanta Kumar Maitra,22-Apr-2026 04:12 PM,techsummary_571004.pdf (9079.00 KB),ADMINISTRATOR,Internal,,Jayanta Kumar Maitra,22-Apr-2026 04:16 PM,finsummary_571004.pdf (9079.00 KB),AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"REGISTRATION CERTIFICATE, GST, PAN, EPF OR UNDERTAKING FOR EPF AND AFFIDAVIT and Others AS PER DTCN","6,000",0.0,Nil,Nil,No,"12,718",Yes,fixed,,Nil,Nil,16-Dec-2025 03:00 PM,30-Dec-2025 11:00 AM,16-Dec-2025 03:00 PM,29-Dec-2025 05:00 PM,NA ,NA ,16-Dec-2025 03:00 PM,29-Dec-2025 05:00 PM,Construction of C.C Road from Hatisala Road to Sandha chhak back side of Nigamananda Ashram in ward No-05,CIVIL,Please refer Tender documents. ,NA ,"12,71,748",Civil Works - Others,NA ,Tender,120.0,60.0,PURI MUNICIPALITY,752001.0,NA ,NA ,NA ,OFFICE CHAMBER OF THE EXECUTIVE OFFICER,No ,No,"EXECUTIVE OFFICER, PURI MUNICIPALITY",VIP ROAD,Municipal Bodies||Puri Municipality,P.M. 05/2025-26,2025_ORULB_122921_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,2,3334580,BIRENDRA KUMAR MOHANTY,28-Dec-2025 08:14 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,22-Apr-2026 04:16 PM,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,3335809,BUDHANATH BEJA,29-Dec-2025 12:08 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,22-Apr-2026 04:16 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3336997,KAIBALYA BARAL,29-Dec-2025 02:20 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,22-Apr-2026 04:16 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3333611,PRAMOD SAHOO,28-Dec-2025 05:33 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,22-Apr-2026 04:16 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3331686,PRITIRANI DAS,27-Dec-2025 03:14 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,22-Apr-2026 04:16 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3331669,RAJA KISHORE DAS,27-Dec-2025 03:41 PM,Accepted-AOC,WON BY LOTTERY PROCESS,22-Apr-2026 04:19 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3327519,RAKESH BISWAL,25-Dec-2025 03:54 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,22-Apr-2026 04:16 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3332841,SANGEETA NAYAK,28-Dec-2025 08:39 AM,Rejected-Finance,DECIDED THROUGH LOTTERY,22-Apr-2026 04:16 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3333011,SOUMYA RANJAN DAS,28-Dec-2025 09:52 AM,Rejected-Finance,DECIDED THROUGH LOTTERY,22-Apr-2026 04:16 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,11,3321054,SUSHIL MUDULI,26-Dec-2025 10:13 PM,Rejected-Finance,DECIDED THROUGH LOTTERY,22-Apr-2026 04:16 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
