S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3434464.0,SIKAN KUMAR NAYAK,INR,"3,327,192.758",EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-RAIRANGPUR,2026_EICCL_127121_1,48 OF 2025-26,Construction of 1 No. E type quarter for Assistant Engineer at Raruan (R and B) Section in the District of Mayurbhanj in the year 2025-26 (Ltr no.41382 dt.30.10.2025) (Building work),Technical,1 nos of bidder is in Technical Evaluation,S. AMARNATH SUBUDHI,19-Mar-2026 04:37 PM,,MANAS RANJAN SETHI/SUMIT SOURAV SAHU,Internal,SAMIRANA NANDY,S. AMARNATH SUBUDHI,15-Apr-2026 11:56 AM,finsummary_584656.pdf (1073.19 KB),SUMIT SOURAV SAHU,Internal,Samiran Nandy S Amarnath Subudhi,S. AMARNATH SUBUDHI,21-Mar-2026 12:47 PM,23-Mar-2026 10:30 AM,techsummary_584656.pdf (801.74 KB),Finance,OPENED,Sumit Saurav Sahu,23-Mar-2026 12:13 PM,,BOQ Comparative Chart,1.0,3434464.0,SIKAN KUMAR NAYAK,17-Mar-2026 03:48 PM,Accepted-AOC,"Tender accepatance by CCE, Eastern Circle,Balasore",15-Apr-2026 12:16 PM,15-Apr-2026,"INR 3,327,192.758",120.0,S. AMARNATH SUBUDHI,15-Apr-2026 12:16 PM,RARUAN1.pdf (1073.00 KB),AOC,Construction of 1 No. E type quarter for Assistant Engineer at Raruan (R and B) Section in the District of Mayurbhanj in the year 2025-26 (Ltr no.41382 dt.30.10.2025) (Building work),Construction of 1 No. E type quarter for Assistant Engineer at Raruan (R and B) Section in the District of Mayurbhanj in the year 2025-26 (Ltr no.41382 dt.30.10.2025) (Building work),NA ,NA ,"40,08,183",Civil Works - Buildings,NA ,Tender,90.0,120.0,Rairangpur,757043.0,NA ,NA ,NA ,"ROADS AND BUILDINGS DIVISION, RAIRANGPUR",No ,No,"6,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-RAIRANGPUR,48 OF 2025-26,2026_EICCL_127121_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1,ICICI BANK,Divisional Officer,"ROADS AND BUILDINGS DIVISION, RAIRANGPUR","40,082",Yes,percentage,1.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,"RC, PAN, GSTIN, VAILD LICENSE, MACHINERIES, AFFIDAVIT AND OTHER DOCUMENTS as per DTCN",10-Mar-2026 01:00 PM,18-Mar-2026 10:00 AM,10-Mar-2026 01:00 PM,17-Mar-2026 04:00 PM,10-Mar-2026 01:00 PM ,17-Mar-2026 04:00 PM ,10-Mar-2026 01:00 PM,17-Mar-2026 04:00 PM,23-Mar-2026 10:30 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,AOC
