Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
20-Apr-2026,"INR 2,876,226",90.0,KAMALA KANTA BEHERA,20-Apr-2026 01:08 PM,Chheliaposi.pdf (241.00 KB),Finance,2 nos. bidders participated in this package and all are accepted,KAMALA KANTA BEHERA,20-Apr-2026 12:13 PM,finance_584660.pdf,BOQ Comparative Chart,Executive Engineer,Internal,,KAMALA KANTA BEHERA,20-Apr-2026 12:43 PM,finsummary_584660.pdf (547.05 KB),1,3435524,BINOD BIHARI SAHU,20-Mar-2026 12:38 PM,Accepted-AOC,Work awarded after agreement,20-Apr-2026 01:08 PM,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Karanjia,2026_OLIC_127120_2,BID ID NO.24 EELID (KJA/2025-26) DATE. 07.03.2026,Installation and energisation of Chheliaposi IV RL LIP under Karanjia Block in Mayurbhanj District,1.0,3435524.0,BINOD BIHARI SAHU,INR,"2,876,226",Executive Engineer,Internal,,KAMALA KANTA BEHERA,20-Apr-2026 12:30 PM,techsummary_584660.pdf (547.05 KB),AOC,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Karanjia,BID ID NO.24 EELID (KJA/2025-26) DATE. 07.03.2026,2026_OLIC_127120_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,"EE, L.I Division, Karanjia","EE, L.I Division, Karanjia, Ankura, Karnjia, Mayurbhanj, Odisha, 757037",10-Mar-2026 01:00 PM,23-Mar-2026 11:00 AM,10-Mar-2026 01:00 PM,20-Mar-2026 05:00 PM,10-Mar-2026 01:00 PM ,16-Mar-2026 05:00 PM ,10-Mar-2026 03:00 PM,20-Mar-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender paper cost EMD PAN GST certificate Civil HT License Experience Agreement JV as per DTCN,"33,838",Yes,percentage,1.0%,Nil,Nil,Installation and energisation of Chheliaposi IV RL LIP under Karanjia Block in Mayurbhanj District,Installation and energisation of Chheliaposi IV RL LIP under Karanjia Block in Mayurbhanj District,Please refer Tender documents. ,NA ,"33,83,795",Civil Works - Lift Irrigation Schemes,NA ,Tender,365.0,90.0,Karanjia,757037.0,NA ,NA ,NA ,"EE, L.I Division, Karanjia",No ,No,"7,080",0.0,Nil,Nil,No,1.0,Technical Corrigendum,Technical Bid,,AOC
,,,,,,,,,,,,,,,,,,2,3436463,NILAMBAR PUTHAL,19-Mar-2026 10:27 PM,Rejected-Finance,Failed bidder,20-Apr-2026 12:43 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
