Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,1.0,DATE MODIFICATION,Date,,31-Dec-2025 10:00 AM,19-Jan-2026 11:00 AM,31-Dec-2025 10:00 AM,17-Jan-2026 05:00 PM,NA ,NA ,31-Dec-2025 10:00 AM,17-Jan-2026 05:00 PM,Executive Officer NAC Boudhgarh,Executive Officer NAC Boudhgarh,"4,000",0.0,Nil,Nil,No,Municipal Bodies||Boudhgarh NAC,OR/ULB/BUD/8/2025-26,2025_ORULB_123920_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Development of river embankment at Punduri gaht , Danisahi in ward No 04",Development of river embankment at Pundurighat Danisahi,Please refer Tender documents. ,NA ,"8,61,632",Civil Works - Buildings,NA ,Tender,90.0,NA ,NAC Boudhgarh,762014.0,NA ,NA ,NA ,Executive Officer NAC Boudhgarh,No ,No,"8,616",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,CHAIRPERSON,Internal,"CM,EO,ME,AE,ACCT",Satya Narayan Pradhan,10-Apr-2026 07:23 PM,finsummary_573549.pdf (828.36 KB),CHAIRPERSON,Internal,"CM,EO,ME, AE,ACCT",Satya Narayan Pradhan,10-Apr-2026 05:19 PM,techsummary_573549.pdf (828.36 KB),Municipal Bodies||Boudhgarh NAC,2025_ORULB_123920_10,OR/ULB/BUD/8/2025-26,"Development of river embankment at Punduri gaht , Danisahi in ward No 04",1.0,3357898.0,SHANTANU KUMAR PATTNAIk,INR,"860,685",1,3358225,Arabinda Nayak,17-Jan-2026 02:34 PM,Rejected-AOC,AS PER RATE QUOTED,11-Apr-2026 10:19 AM,10-Apr-2026,"INR 860,685",60.0,Satya Narayan Pradhan,11-Apr-2026 10:18 AM,10.pdf (578.00 KB),AS PER LOTTERY,Finance,11 bidder participated and admitted for Technical Evaluation,Pabitra Mohan Pradhan,26-Jan-2026 07:40 PM,,BOQ Comparative Chart,AOC
,,.pdf,DTCN,2.0,DEPOSIT OF APS,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,2,3357904,Biswanath Patra,17-Jan-2026 01:05 PM,Rejected-AOC,AS PER RATE QUOTED,11-Apr-2026 10:19 AM,,,,,,,,,,,,,,AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3356488,DHARMESH KUMAR NAYAK,15-Jan-2026 07:48 PM,Rejected-AOC,AS PER RATE QUOTED,11-Apr-2026 10:19 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3358064,IPSIT SAHU,17-Jan-2026 12:02 PM,Rejected-AOC,AS PER RATE QUOTED,11-Apr-2026 10:19 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3357843,Kalyani Sahu,16-Jan-2026 09:45 PM,Rejected-AOC,AS PER RATE QUOTED,11-Apr-2026 10:19 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3358213,Manas Ranjan Das,17-Jan-2026 02:19 PM,Rejected-AOC,AS PER RATE QUOTED,11-Apr-2026 10:19 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3355409,Manoj Kumar sahoo,15-Jan-2026 01:23 PM,Rejected-AOC,AS PER RATE QUOTED,11-Apr-2026 10:19 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3358281,RAJESH KARNA,17-Jan-2026 03:44 PM,Rejected-AOC,AS PER RATE QUOTED,11-Apr-2026 10:19 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3356895,Rajesh Mishra,16-Jan-2026 12:15 PM,Rejected-AOC,AS PER RATE QUOTED,11-Apr-2026 10:19 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3356388,SANGRAM KESHARI DAS,17-Jan-2026 01:48 PM,Rejected-AOC,AS PER RATE QUOTED,11-Apr-2026 10:19 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,11,3357898,SHANTANU KUMAR PATTNAIk,16-Jan-2026 08:39 PM,Accepted-AOC,AS PER RATE QUOTED,11-Apr-2026 10:19 AM,,,,,,,,,,,,,,AOC
