S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3361743.0,SWAGAT RANJAN BISWAL,INR,"9,063,008",CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-KEONJHAR,2026_CERWI_124615_7,NCB 17 OF 2025-26,"Periodical Maintenance to Dhanabeni to Mirgikhoji from ch 0/000 to 2/120, 2/290 to 4/574 ,5/112 to 5/300 , 5/440 to 6/544 for the year 2025- 26.",Technical,cover1,Kapileswar Singh,05-Feb-2026 11:02 AM,technical_575953.pdf,SE,Internal,,Kapileswar Singh,06-Apr-2026 06:46 PM,finsummary_575953.pdf (729.11 KB),SE,Internal,,Kapileswar Singh,05-Feb-2026 11:04 AM,06-Feb-2026 05:00 PM,techsummary_575953.pdf (597.99 KB),Finance,COVER1,Sanjukta Marndi,20-Feb-2026 12:43 PM,finance_575953.pdf,BOQ Comparative Chart,1,3361732,BASANTA KUMAR KANDI,20-Jan-2026 04:42 PM,Rejected-AOC,REJECTED,06-Apr-2026 06:51 PM,06-Apr-2026,"INR 9,063,008",30.0,Kapileswar Singh,06-Apr-2026 06:51 PM,DHANABENI_MIRGIKHOJI.pdf (729.00 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,"RC, PAN, GST AFFIDAVIT AND AS PER ANNEXURE",1.0,ICICI BANK,15-Jan-2026 05:30 PM,21-Jan-2026 11:00 AM,15-Jan-2026 05:30 PM,21-Jan-2026 09:00 AM,15-Jan-2026 05:30 PM ,19-Jan-2026 05:00 PM ,15-Jan-2026 05:30 PM,21-Jan-2026 09:00 AM,06-Feb-2026 05:00 PM,"10,000",0.0,Nil,Nil,No,"Periodical Maintenance to Dhanabeni to Mirgikhoji from ch 0/000 to 2/120, 2/290 to 4/574 ,5/112 to 5/300 , 5/440 to 6/544 for the year 2025- 26.","Periodical Maintenance to Dhanabeni to Mirgikhoji from ch 0/000 to 2/120, 2/290 to 4/574 ,5/112 to 5/300 , 5/440 to 6/544 for the year 2025- 26.",Please refer Tender documents. ,NA ,"90,63,000",Civil Works - Roads,NA ,Tender,90.0,30.0,KEONJHAR,758001.0,NA ,NA ,NA ,"R.W DIVISION-I,KEONJHAR",No ,No,SUPERINTENDING ENGINEER,At-Gambharia Po-DD College Near Dairy Farm Keonjhar,CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-KEONJHAR,NCB 17 OF 2025-26,2026_CERWI_124615_7,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"90,630",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3360549,Purna Chandra Behera,20-Jan-2026 12:47 PM,Rejected-AOC,REJECTED,06-Apr-2026 06:51 PM,,,,,,,AOC,2.0,Finance,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3358845,RATNAKAR NAIK,20-Jan-2026 02:02 PM,Rejected-AOC,REJECTED,06-Apr-2026 06:51 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3361743,SWAGAT RANJAN BISWAL,20-Jan-2026 10:23 PM,Accepted-AOC,ACCEPTED,06-Apr-2026 06:51 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3361235,UMESHCHANDRA MUNDA,20-Jan-2026 01:47 PM,Rejected-AOC,REJECTED,06-Apr-2026 06:51 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
