S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAPER COST, EMD, PAN ,GST, REGISTRATION CERTIFICATE , AFFIDAVIT AND OTHER AS PER DTCN",Construction of Boundary wall and shed of Gosala at Godhuli in ward no-01 of Champua NAC (MSBY),Construction of Boundary wall and shed of Gosala at Godhuli in ward no-01 of Champua NAC (MSBY),Please refer Tender documents. ,NA ,"13,81,728",Civil Works - Others,NA ,Tender,120.0,120.0,CHAMPUA,758041.0,NA ,NA ,NA ,"O/O EXECUTIVE OFFICER, CHAMPUA, NAC",No ,No,12-Feb-2026 01:00 PM,25-Feb-2026 09:30 AM,12-Feb-2026 01:00 PM,24-Feb-2026 05:00 PM,12-Feb-2026 01:00 PM ,20-Feb-2026 05:00 PM ,12-Feb-2026 01:00 PM,24-Feb-2026 05:00 PM,"O/O EXECUTIVE OFFICER, CHAMPUA,NAC","O/O EXECUTIVE OFFICER, CHAMPUA NAC","13,817",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Champua NAC,EOCHAMPUANAC-NO-63/2025-26,2026_ORULB_125930_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,1,3408764,AMIT KUMAR PANDA,23-Feb-2026 05:23 PM,Accepted-AOC,qualified,08-Apr-2026 11:05 AM,08-Apr-2026,"INR 1,298,875",120.0,Jagannath Behera,08-Apr-2026 11:05 AM,amitfinan.pdf (1012.00 KB),work order,"eo, champua",Internal,"EO, CHAMPPUA",Jagannath Behera,08-Apr-2026 10:59 AM,techsummary_580986.pdf (1011.93 KB),Municipal Bodies||Champua NAC,2026_ORULB_125930_2,EOCHAMPUANAC-NO-63/2025-26,Construction of Boundary wall and shed of Gosala at Godhuli in ward no-01 of Champua NAC (MSBY),"eo, champua",Internal,"eo, champua",Jagannath Behera,08-Apr-2026 11:02 AM,finsummary_580986.pdf (1011.92 KB),Finance,02 nos bidder,Prakash Chandra Kundu,25-Feb-2026 10:59 AM,finance_580986.pdf,BOQ Comparative Chart,1.0,3408764.0,AMIT KUMAR PANDA,INR,"1,298,875",AOC
2,ICICI NEFT/RTGS,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3408773,RUPESH KUMAR MOHANTA,23-Feb-2026 05:43 PM,Rejected-AOC,dis qualified,08-Apr-2026 11:05 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
