S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3132686.0,Bibekananda Mohapatra,INR,"1,694,700",Finance,All the six bids have been admitted,Abhishek Panda,23-Oct-2025 03:41 PM,,BOQ Comparative Chart,Basanta Biswal,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Bibhuti Tripathy,30-Apr-2026 11:11 AM,finsummary_555058.pdf (334.39 KB),Municipal Bodies||Paradeep Municipality,2025_ORULB_119069_2,EO/ PDPM/ W_04/ 2025-26,Renovation of First Floor of Quarter no 41near Mahima Ashram Located at Madhuban Housing Board Colony in ward no 13,Basanta Biswal,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Bibhuti Tripathy,30-Apr-2026 11:09 AM,techsummary_555058.pdf (334.40 KB),30-Apr-2026,"INR 1,694,700",90.0,Bibhuti Tripathy,30-Apr-2026 11:15 AM,2.pdf (334.00 KB),Contract value includes GST.,1,3133694,BASANTA BEHERA,19-Oct-2025 09:33 PM,Rejected-Finance,L3,30-Apr-2026 11:11 AM,AOC,Renovation of First Floor of Quarter no 41near Mahima Ashram Located at Madhuban Housing Board Colony in ward no 13,Renovation of First Floor of Quarter no 41near Mahima Ashram Located at Madhuban Housing Board Colony in ward no 13,Please refer Tender documents. ,NA ,"16,89,390",Civil Works - Others,NA ,Tender,120.0,90.0,PARADEEP MUNICIPALITY,754142.0,NA ,NA ,NA ,PARADEEP MUNICIPALITY,No ,No,"6,000",0.0,Nil,Nil,No,10-Oct-2025 10:30 AM,22-Oct-2025 11:30 AM,10-Oct-2025 10:30 AM,20-Oct-2025 05:30 PM,10-Oct-2025 10:30 AM ,20-Oct-2025 05:30 PM ,10-Oct-2025 10:30 AM,20-Oct-2025 05:30 PM,"EO, PARADEEP MUNICIPALITY","EO, PARADEEP MUNICIPALITY",1.0,ICICI BANK,Municipal Bodies||Paradeep Municipality,EO/ PDPM/ W_04/ 2025-26,2025_ORULB_119069_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"16,894",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Bid documents,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3132686,Bibekananda Mohapatra,20-Oct-2025 11:20 AM,Accepted-AOC,Contract value includes GST.,30-Apr-2026 11:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3134355,BIJAY KUMAR SETHY,18-Oct-2025 01:38 PM,Rejected-Finance,L5,30-Apr-2026 11:11 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3132700,M/S KANTHAMANI SETHY,19-Oct-2025 10:24 AM,Rejected-Finance,L2,30-Apr-2026 11:11 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3133857,M/S. SABITA BEHERA,18-Oct-2025 11:48 AM,Rejected-Finance,L6,30-Apr-2026 11:11 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3136982,PADAN CHARAN BEHERA,19-Oct-2025 10:25 PM,Rejected-Finance,L4,30-Apr-2026 11:11 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
