Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Tender Stage
Finance,20 nos. of bidder participated,Sadasiv Nayak,17-Mar-2026 11:58 AM,,BOQ Comparative Chart,"Block Development Officer,Dharmagarh",Internal,,Sadasiv Nayak,21-Apr-2026 09:45 AM,finsummary_583533.pdf (3380.52 KB),21-Apr-2026,"INR 1,482,604",180.0,Sadasiv Nayak,21-Apr-2026 09:51 AM,Amguda.pdf (3381.00 KB),1,3432755,ABHIMANYU CHHATRIA,16-Mar-2026 01:40 PM,Rejected-Finance,Disqualified,21-Apr-2026 09:45 AM,1.0,3432989.0,NARAYANA MEHER,INR,"1,482,604",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi||DHARAMAGARH Block,2026_PRDB_126753_1,PS-DHG-T-2/2025-26,"Construction of Addl. Class room at Amabhaguda UPS, GP- Gadiajore under Dharmagarh Block","Block Development Officer,Dharmagarh",Internal,,Sadasiv Nayak,21-Apr-2026 09:39 AM,techsummary_583533.pdf (3380.52 KB),AOC,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi||DHARAMAGARH Block,PS-DHG-T-2/2025-26,2026_PRDB_126753_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"15,000",Yes,fixed,,Nil,Nil,"Construction of Addl. Class room at Amabhaguda UPS, GP- Gadiajore under Dharmagarh Block",Building,Please refer Tender documents. ,NA ,"14,84,088",Civil Works - Buildings,NA ,Tender,90.0,180.0,Dharmagarh,766015.0,NA ,NA ,NA ,"O/o Panchayat Samiti, Dharmagarh",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, PAN, GST, RC, No Relation certificate","6,000",Nil,Nil,No,02-Mar-2026 11:00 AM,17-Mar-2026 11:00 AM,02-Mar-2026 11:00 AM,16-Mar-2026 05:00 PM,02-Mar-2026 11:00 AM ,07-Mar-2026 05:00 PM ,02-Mar-2026 11:00 AM,16-Mar-2026 05:00 PM,1.0,ICICI BANK,"Block Development officer, Dharmagarh","O/o Panchayat Samiti, Dharmagarh",AOC
,,,,,,,,,,,,,,,,,,2,3432291,AJAYA KUMAR THAKUR,16-Mar-2026 02:58 PM,Rejected-Finance,Disqualified,21-Apr-2026 09:45 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,3,3433508,BRAJA BANDHU BIHAR,16-Mar-2026 04:48 PM,Rejected-Finance,Disqualified,21-Apr-2026 09:45 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,4,3433269,CHANCHAL AGRAWAL,16-Mar-2026 03:29 PM,Rejected-Finance,Disqualified,21-Apr-2026 09:45 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,5,3432213,GAJINDRA PRADHAN,16-Mar-2026 10:43 AM,Rejected-Finance,Disqualified,21-Apr-2026 09:45 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,6,3429313,Ganesh Chandra Patra,13-Mar-2026 01:20 PM,Rejected-Finance,Disqualified,21-Apr-2026 09:45 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,7,3432731,JAGBANDHU SUNANI,16-Mar-2026 01:52 PM,Rejected-Finance,Disqualified,21-Apr-2026 09:45 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,8,3429499,KHUSBU AGRAWAL,16-Mar-2026 12:24 PM,Rejected-Finance,Disqualified,21-Apr-2026 09:45 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,9,3431836,MAHENDRA NAIK,16-Mar-2026 12:38 PM,Rejected-Finance,Disqualified,21-Apr-2026 09:45 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,10,3430938,MANOJ KUMAR AGRAWAL,16-Mar-2026 02:01 PM,Rejected-Finance,Disqualified,21-Apr-2026 09:45 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
