Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Stage
Finance,Admitted,Jajati Keshari Gadanayak,17-Mar-2026 11:30 AM,,BOQ Comparative Chart,1.0,3432935.0,RAJEN KUMAR SAHOO,INR,"495,533",CE RW I||RW-CIRCLE-SUNDARGARH||RW Division Bonai,2026_CERWI_127115_2,ONLINE-EEBNI- 09 of 2025-26,S/R to PS Road-Dahichor from 1/700Km to 2/200Km in the distruct of Sundargarh for the year 2025-26.,Executive Engineer,Internal,Executive Engineer,Jajati Keshari Gadanayak,18-Mar-2026 07:58 PM,finsummary_584641.pdf (1019.22 KB),Executive Engineer,Internal,Executive Engineer,Jajati Keshari Gadanayak,18-Mar-2026 07:36 PM,techsummary_584641.pdf (959.86 KB),18-Mar-2026,"INR 495,533",30.0,Jajati Keshari Gadanayak,04-Apr-2026 10:54 AM,1282.pdf (877.00 KB),Awarded,1,3432534,Basanti Tarcila Lakra,16-Mar-2026 12:10 PM,Rejected-Finance,By lottery,18-Mar-2026 07:58 PM,AOC,CE RW I||RW-CIRCLE-SUNDARGARH||RW Division Bonai,ONLINE-EEBNI- 09 of 2025-26,2026_CERWI_127115_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,10-Mar-2026 05:00 PM,17-Mar-2026 11:00 AM,10-Mar-2026 05:00 PM,16-Mar-2026 05:00 PM,10-Mar-2026 05:00 PM ,16-Mar-2026 05:00 PM ,10-Mar-2026 05:00 PM,16-Mar-2026 05:00 PM,"2,000",0.0,Nil,Nil,No,S/R to PS Road-Dahichor from 1/700Km to 2/200Km in the distruct of Sundargarh for the year 2025-26.,S/R to PS Road-Dahichor from 1/700Km to 2/200Km in the distruct of Sundargarh for the year 2025-26.,Please refer Tender documents. ,NA ,"4,95,533",Civil Works - Roads,NA ,Tender,90.0,30.0,Bonai,770038.0,NA ,NA ,NA ,"O/O EE RWD, Bonai",No ,No,"4,960",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, PAN,GSTN No. EMD, Affidavit Online Cost of tender paper etc. as per DTCN",1.0,ICICI BANK,Executive Engineer,"O/O EE RWD, Bonai",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3432424,DM Constructions,16-Mar-2026 01:16 PM,Rejected-Finance,By lottery,18-Mar-2026 07:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3430763,KESHAB CHANDRA PATRA,14-Mar-2026 02:23 PM,Rejected-Finance,By lottery,18-Mar-2026 07:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3432935,RAJEN KUMAR SAHOO,16-Mar-2026 01:50 PM,Accepted-AOC,Awarded,04-Apr-2026 10:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3432845,RB LOGISTICS,16-Mar-2026 01:23 PM,Rejected-Finance,By lottery,18-Mar-2026 07:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3433302,SACHIN LUGUN,16-Mar-2026 03:38 PM,Rejected-Finance,By lottery,18-Mar-2026 07:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3432730,SUMAN JAISWAL,16-Mar-2026 12:54 PM,Rejected-Finance,By lottery,18-Mar-2026 07:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3430937,SUSMITA ACHARYA,14-Mar-2026 04:54 PM,Rejected-Finance,By lottery,18-Mar-2026 07:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
