Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Finance,2 NOS OF BIDDER ARE PARTICIPATED,Shrabani Routray,16-Mar-2026 11:30 AM,,BOQ Comparative Chart,1.0,3430931.0,SARTHAK INFRA AND ASSOCIATES,INR,"571,781.98",CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2026_CERWI_127069_1,Tender Online Divn. BBSR - 39/2025-26,S/R to Veteswar to Banloi Road,SE RWD BBSR,Internal,Sr DAO AEE and Estimator,Nirmal Chandra Jena,02-Apr-2026 01:07 PM,finsummary_584525.pdf (354.16 KB),SE RWD BBSR,Internal,Sr DAO AEE and Estimator,Nirmal Chandra Jena,02-Apr-2026 01:03 PM,techsummary_584525.pdf (354.16 KB),1,3430897,HITU PRADHAN,14-Mar-2026 04:03 PM,Rejected-Finance,Quoted rate,02-Apr-2026 01:07 PM,02-Apr-2026,"INR 571,781.98",30.0,Nirmal Chandra Jena,02-Apr-2026 01:10 PM,veteswar.pdf (354.00 KB),AoC,AOC,SE RWD BBSR,O/o the SE RWD BBSR,1,ICICI BANK,S/R to Veteswar to Banloi Road,S/R to Veteswar to Banloi Road,Please refer Tender documents. ,NA ,"8,47,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Khordha,751013.0,NA ,NA ,NA ,O/o the SE RWD BBSR,No ,No,"8,470",Yes,percentage,1.0%,Nil,Nil,09-Mar-2026 02:00 PM,16-Mar-2026 11:00 AM,09-Mar-2026 02:00 PM,14-Mar-2026 05:00 PM,NA ,NA ,09-Mar-2026 02:00 PM,14-Mar-2026 05:00 PM,"4,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,Tender Online Divn. BBSR - 39/2025-26,2026_CERWI_127069_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GSTIN PAN Contractor RC Affidavits undertakings and any other document as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3430931,SARTHAK INFRA AND ASSOCIATES,14-Mar-2026 04:37 PM,Accepted-AOC,L1 Bidder,02-Apr-2026 01:10 PM,,,,,,,,AOC,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
