S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3293508.0,CHANDRA KANTA ROUT,INR,"21,963,552.34",ST and SC Development Deptt||ITDA Keonjhar,2025_STSCD_122145_3,Bid Identification No ITDAK- 02 / 2025-26.,Construction of 100 seated ST Girls Hostel Building at Sainkul Ashram School in Ghasipura Block in the District of Keonjhar,Technical,Bid opening summary,Shiv Kumar Mishra,18-Dec-2025 07:27 AM,technical_567658.pdf,Shiv Shankar Mishra,Internal,"PA, Assistant Executive Engineer, Junior Engineer, ITDA Keonjhar",Shiv Kumar Mishra,24-Apr-2026 05:16 AM,finsummary_567658.pdf (412.89 KB),Shiv Shankar Mishra,Internal,"PA, Assistant Executive Engineer, Junior Engineer, ITDA Keonjhar",Shiv Kumar Mishra,10-Jan-2026 08:07 AM,12-Jan-2026 11:00 AM,techsummary_567658.pdf (254.88 KB),Finance,Bid opening summary,Shiv Kumar Mishra,14-Jan-2026 11:49 AM,finance_567658.pdf,BOQ Comparative Chart,24-Apr-2026,"INR 21,963,552.34",180.0,Shiv Kumar Mishra,24-Apr-2026 05:22 AM,3_Sainkul_AS_Hostel.pdf (857.00 KB),Winner of lottery.,1,3293336,AMIT KUMAR PAHI,10-Dec-2025 03:19 PM,Rejected-AOC,Loser of lottery.,24-Apr-2026 05:22 AM,AOC,"The Project Administrator, ITDA, Keonjhar","O/o the Project Administrator, ITDA, Mandua, Keonjhar-758001",Construction of 100 seated ST Girls Hostel Building at Sainkul Ashram School in Ghasipura Block in the District of Keonjhar,Construction of 100 seated ST Girls Hostel Building at Sainkul Ashram School in Ghasipura Block in the District of Keonjhar,Please refer Tender documents. ,NA ,"2,58,36,434",Civil Works - Buildings,NA ,Tender,90.0,180.0,Keonjhar,758001.0,NA ,NA ,NA ,"O/o The Project Administrator, ITDA, Keonjhar",No ,No,"10,000",0.0,Nil,Nil,No,"2,58,400",Yes,fixed,,Nil,Nil,ST and SC Development Deptt||ITDA Keonjhar,Bid Identification No ITDAK- 02 / 2025-26.,2025_STSCD_122145_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Tender paper cost, EMD, PAN, GSTIN, Contractor registration Certificate, Affidavit, etc.",28-Nov-2025 09:00 AM,12-Dec-2025 11:00 AM,28-Nov-2025 09:00 AM,11-Dec-2025 05:00 PM,NA ,NA ,28-Nov-2025 09:00 AM,11-Dec-2025 05:00 PM,12-Jan-2026 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3293921,ANITA NAIK,10-Dec-2025 06:56 PM,Rejected-AOC,Loser of lottery.,24-Apr-2026 05:22 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3294249,ASHIS KUMAR ROUT,10-Dec-2025 10:04 PM,Rejected-AOC,Loser of lottery.,24-Apr-2026 05:22 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3286543,BHUYAN MAHAPRASAD,07-Dec-2025 06:33 PM,Rejected-AOC,Loser of lottery.,24-Apr-2026 05:22 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3293720,CHANDAN KUMAR BEHERA,10-Dec-2025 05:26 PM,Rejected-AOC,Loser of lottery.,24-Apr-2026 05:22 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3293508,CHANDRA KANTA ROUT,10-Dec-2025 04:15 PM,Accepted-AOC,Winner of lottery.,24-Apr-2026 05:22 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3293966,DEBABRATA BARAL,10-Dec-2025 07:16 PM,Rejected-AOC,Loser of lottery.,24-Apr-2026 05:22 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3285706,DEBA KUMAR GHADEI,07-Dec-2025 01:31 PM,Rejected-AOC,Loser of lottery.,24-Apr-2026 05:22 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3294248,DIBAKAR NAYAK,10-Dec-2025 09:51 PM,Rejected-AOC,Loser of lottery.,24-Apr-2026 05:22 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3295601,KUNA SAHOO,11-Dec-2025 03:20 PM,Rejected-AOC,Loser of lottery.,24-Apr-2026 05:22 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
