S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3405996.0,SHANTI ASSOCIATES,INR,"9,926,640",Managing Director,Internal,,JAYALAXMI BISWAL,30-Apr-2026 11:09 AM,finsummary_578276.pdf (872.35 KB),WATCO Bhubaneswar,2026_WATCO_125201_1,WATCO (W)-27(01)/2025-26 Dtd.28.01.2026,"Design, Supply, Construction, Erection, Commissioning and Testing, ensuring connectivity for net metering of a total aggregated capacity of 200 KWP grid-connected solar rooftop power plants, including comprehensive warranty",Technical,Five no technical bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,24-Feb-2026 01:02 PM,,Finance,Four no financial bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,10-Apr-2026 12:02 PM,,BOQ Comparative Chart,Managing Director,Internal,,JAYALAXMI BISWAL,09-Apr-2026 10:01 AM,10-Apr-2026 11:30 AM,techsummary_578276.pdf (5554.12 KB),1,3402158,ALFA PROJECTS AND SERVICES PRIVATE LIMITED,21-Feb-2026 04:23 PM,Rejected-AOC,Not a lowest bidder,30-Apr-2026 11:11 AM,30-Apr-2026,"INR 9,926,640",120.0,JAYALAXMI BISWAL,30-Apr-2026 11:11 AM,AOC.pdf (703.00 KB),AOC,"1,22,000",Yes,fixed,,Nil,Nil,WATCO Bhubaneswar,WATCO (W)-27(01)/2025-26 Dtd.28.01.2026,2026_WATCO_125201_1,Yes,National Competitive Bid,Lump-sum,Works,2.0,No,No,Online,No,No,No,Managing Director,"The Managing Director, WATCO Ground Floor, Unnati Bhawan, Satyanagar, Bhubaneswar-751007, Odisha, India (0674) 2571444",1.0,ICICI BANK,"Design, Supply, Construction, Erection, Commissioning and Testing, ensuring connectivity for net metering of a total aggregated capacity of 200 KWP grid-connected solar rooftop power plants, including comprehensive warranty","Annual maintenance contract (CAMC) for a period of seven (7) years, at different buildings of 36 MLD STP near CDA, Sector-06, Cuttack, Odisha",Please refer Tender documents. ,NA ,"1,22,40,000",Civil Works - Water Works,NA ,Tender,120.0,120.0,"CDA, Sector-06, Cuttack",753014.0,NA ,NA ,NA ,Bhubaneswar,No ,No,07-Feb-2026 05:00 PM,24-Feb-2026 12:30 PM,07-Feb-2026 05:00 PM,21-Feb-2026 05:00 PM,07-Feb-2026 05:00 PM ,12-Feb-2026 05:00 PM ,07-Feb-2026 05:00 PM,21-Feb-2026 05:00 PM,10-Apr-2026 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, Affidavits as per DTCN","11,800",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3402882,Gosolar Power Systems,21-Feb-2026 01:32 PM,Rejected-AOC,Not a lowest bidder,30-Apr-2026 11:11 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3406556,M/S SOLAMIO AGRO INDIA LLP,21-Feb-2026 02:14 PM,Rejected-AOC,Not a lowest bidder,30-Apr-2026 11:11 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3405343,PRAGATI URZA PRIVATE LIMITED,21-Feb-2026 04:44 PM,Rejected-Technical,Technically disqualified,09-Apr-2026 10:01 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3405996,SHANTI ASSOCIATES,21-Feb-2026 04:34 PM,Accepted-AOC,Lowest bidder,30-Apr-2026 11:11 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
