Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
ST and SC Development Deptt||ITDA Nabarangpur,ITDANBG-02/25-26,2025_STSCD_121639_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,20-Nov-2025 05:00 PM,09-Dec-2025 03:00 PM,20-Nov-2025 05:00 PM,04-Dec-2025 05:00 PM,NA ,NA ,20-Nov-2025 05:00 PM,04-Dec-2025 05:00 PM,Project Administrator,"Integrated Tribal Development Agency, Nabarangpur","37,600",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,1.0,ICICI BANK,Construction of Adivasi Sanskruti Bhawan at Jharigam under Jharigam Block,Construction of Adivasi Sanskruti Bhawan at Jharigam under Jharigam Block,C and B Class ,NA ,"37,59,659",Civil Works - Buildings,Community Hall ,Tender,90.0,180.0,Nabarangpur,764059.0,NA ,NA ,NA ,"ITDA, Nabarangpur",No ,No,AOC,"ADM, Nabarangpur",Internal,"PA, ITDA, Nabarangpur, SE, R and B Nabarangpur Division, DTO, Nabarangpur, AEE, ITDA, Nabarangpur",JAYKURBAN PETER TIRKEY,24-Feb-2026 11:07 AM,finsummary_566000.pdf (915.38 KB),"ADM, Nabarangpur",Internal,"PA, ITDA, Nabarangpur, SE, R and B Nabarangpur Division, DTO, Nabarangpur, AEE, ITDA, Nabarangpur",JAYKURBAN PETER TIRKEY,21-Feb-2026 05:27 PM,techsummary_566000.pdf (915.38 KB),20-Mar-2026,"INR 3,173,648",180.0,Dasarath Khemundu,08-Apr-2026 03:44 PM,JharigamASB.pdf (449.00 KB),1,3276707,AJBAL BHATRA,03-Dec-2025 10:50 PM,Rejected-Finance,Disqualified in transparent Lottery system,24-Feb-2026 11:07 AM,1.0,3277997.0,MAHESDAS PANAKA,INR,"3,173,648",ST and SC Development Deptt||ITDA Nabarangpur,2025_STSCD_121639_18,ITDANBG-02/25-26,Construction of Adivasi Sanskruti Bhawan at Jharigam under Jharigam Block,Finance,Bids opened successfully,JAYKURBAN PETER TIRKEY,30-Dec-2025 04:02 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST, Affidavit, Caste Certificate, Licence, Work Performance, EMD, TP Cost, Undertakings",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3275945,ALEKHA CHANDRA MOHANTY,03-Dec-2025 07:24 PM,Rejected-Finance,Disqualified in transparent Lottery system,24-Feb-2026 11:07 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3270968,AMULYA KUMAR PATRO,01-Dec-2025 09:12 PM,Rejected-Finance,Disqualified in transparent Lottery system,24-Feb-2026 11:07 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3270901,ANNAPURNA SAHU,01-Dec-2025 08:51 PM,Rejected-Finance,Disqualified in transparent Lottery system,24-Feb-2026 11:07 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3276249,BINOD KUMAR MOHANTY,04-Dec-2025 10:52 AM,Rejected-Finance,Disqualified in transparent Lottery system,24-Feb-2026 11:07 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3276720,BISHIKESAN PADHI,04-Dec-2025 09:09 AM,Rejected-Finance,Disqualified in transparent Lottery system,24-Feb-2026 11:07 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3278891,CHANDRAKANTA SETHI,04-Dec-2025 03:12 PM,Rejected-Finance,Disqualified in transparent Lottery system,24-Feb-2026 11:07 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3258093,DAMBARU BHATRA,03-Dec-2025 09:21 PM,Rejected-Finance,Disqualified in transparent Lottery system,24-Feb-2026 11:07 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3272682,DINESH BISWAS,02-Dec-2025 10:00 PM,Rejected-Finance,Disqualified in transparent Lottery system,24-Feb-2026 11:07 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3258058,ISWAR PANKA,26-Nov-2025 06:03 PM,Rejected-Finance,Disqualified in transparent Lottery system,24-Feb-2026 11:07 AM,,,,,,,,,,,,,,,,AOC
