Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Development and Maintenance of Potholes-free roads and Covering of slab in open drain in different area of Ward No.16 under Sambalpur Municipal Corporation,Development and Maintenance of Potholes-free roads and Covering of slab in open drain in different area of Ward No.16 under Sambalpur Municipal Corporation,Please refer Tender documents. ,NA ,"42,20,534",Civil Works - Others,NA ,Tender,120.0,90.0,SAMBALPUR MUNICIPAL CORPORATION,768006.0,NA ,NA ,NA ,SAMBALPUR MUNICIPAL CORPORATION,No ,No,Municipal Bodies||Sambalpur Municipal Corporation,24/SMC_SBP/2025-26,2025_ORULB_123015_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor license, Tender Fees, EMD, GST, PAN, Affidavits, Appendix etc. as per DTCN","42,205",Yes,percentage,1.0%,Nil,Nil,17-Dec-2025 11:00 AM,29-Dec-2025 11:00 AM,17-Dec-2025 11:00 AM,26-Dec-2025 05:00 PM,NA ,NA ,17-Dec-2025 11:00 AM,26-Dec-2025 05:00 PM,1,ICICI BANK,"COMMISSIONER, SMC","SAMBALPUR MUNICIPAL CORPORATION, DURGAPALI, SAMBALPUR, 768006","6,000",0.0,Nil,Nil,No,AOC,"Siddheshwar Baliram Bondar,IAS",Internal,"JE/AE/AEE/EE/AO/DC/COMMISSIONER,SMC",Rehan Khatri,23-Apr-2026 08:32 AM,finsummary_571827.pdf (588.43 KB),"Siddheshwar Baliram Bondar,IAS",Internal,"JE/AE/AEE/EE/AO/DC/COMMISSIONER,SMC",Rehan Khatri,23-Apr-2026 08:29 AM,techsummary_571827.pdf (588.43 KB),1,3326537,GROWING TREE INFRA PRIVATE LIMITED,26-Dec-2025 01:10 PM,Accepted-AOC,SUCCESSFUL,23-Apr-2026 08:34 AM,Municipal Bodies||Sambalpur Municipal Corporation,2025_ORULB_123015_17,24/SMC_SBP/2025-26,Development and Maintenance of Potholes-free roads and Covering of slab in open drain in different area of Ward No.16 under Sambalpur Municipal Corporation,1.0,3326537.0,GROWING TREE INFRA PRIVATE LIMITED,INR,"4,220,534",23-Apr-2026,"INR 4,220,534",90.0,Rehan Khatri,23-Apr-2026 08:34 AM,24SMC17.pdf (588.00 KB),SUCCESSFUL,Finance,tender opened,PADMINI MEHER,03-Jan-2026 12:52 PM,finance_571827.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,AOC,,,,,,,,,,,,,2,3330212,SHYAMA CONSTRUCTIONS,26-Dec-2025 04:05 PM,Rejected-Technical,UNSUCCESSFUL,23-Apr-2026 08:29 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
