S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3313941.0,Santosh Kumar Panigrahy,INR,"1,426,581.92",Finance,5 NOS. OF BIDDER PARTICIPATED AND DOCUMENT DOWNLOADED SUCCESSFULLY.,Sukanta Chandra Beura,20-Dec-2025 04:26 PM,finance_569301.pdf,BOQ Comparative Chart,Chairperson Hinjilicut Municipality,Internal,"Executive Officer, Municipal Engineer, Junior Engineer, Accountant, Hinjilicut Municipality",Sukanta Chandra Beura,22-Apr-2026 01:07 PM,finsummary_569301.pdf (350.99 KB),Municipal Bodies||Hinjilicut Municipal Council,2025_ORULB_122550_3,HIN-MUN-04/2025-26,Construction of RCC Drain with cover slab from Mini Kalyan Mandap to Canal 7 in ward no. 2 under Hinjilicut Municipality,Chairperson Hinjilicut Municipality,Internal,"Executive Officer, Municipal Engineer, Junior Engineer, Accountant, Hinjilicut Municipality",Sukanta Chandra Beura,22-Apr-2026 12:57 PM,techsummary_569301.pdf (291.25 KB),1,3313889,Panchanan Das,18-Dec-2025 01:28 PM,Rejected-AOC,As per transparent lottery system.,22-Apr-2026 01:11 PM,22-Apr-2026,"INR 1,426,581.92",60.0,Sukanta Chandra Beura,22-Apr-2026 01:11 PM,AOC.pdf (348.00 KB),AOC,07-Dec-2025 11:00 AM,19-Dec-2025 11:00 AM,07-Dec-2025 11:00 AM,18-Dec-2025 05:00 PM,NA ,NA ,07-Dec-2025 11:00 AM,18-Dec-2025 05:00 PM,1.0,ICICI BANK,Construction of RCC Drain with cover slab from Mini Kalyan Mandap to Canal 7 in ward no. 2 under Hinjilicut Municipality,Construction of RCC Drain with cover slab from Mini Kalyan Mandap to Canal 7 in ward no. 2 under Hinjilicut Municipality,Please refer Tender documents. ,NA ,"16,78,134",Civil Works - Others,NA ,Tender,60.0,NA ,HINJILICUT MUNICIPALITY,761102.0,NA ,NA ,NA ,HINJILICUT MUNICIPALITY,No ,No,Municipal Bodies||Hinjilicut Municipal Council,HIN-MUN-04/2025-26,2025_ORULB_122550_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,EXECUTIVE OFFCER,HINJILICUT MUNICIPALITY,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,"6,000",0.0,Nil,Nil,No,"16,781",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3312101,SANJAYA KUMAR SAHU,17-Dec-2025 06:40 PM,Rejected-AOC,As per transparent lottery system.,22-Apr-2026 01:11 PM,,,,,,,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Scan copy of GST clearance, License, Financial document and other documents as mentioned in DTCN",,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3298932,SANTOSH KUMAR PANIGRAHI,18-Dec-2025 02:51 PM,Rejected-AOC,As per transparent lottery system.,22-Apr-2026 01:11 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3313941,Santosh Kumar Panigrahy,18-Dec-2025 01:48 PM,Accepted-AOC,As per transparent lottery system.,22-Apr-2026 01:11 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3307627,SUSANTA MUNI,16-Dec-2025 02:05 PM,Rejected-AOC,As per transparent lottery system.,22-Apr-2026 01:11 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
