Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
01-Feb-2026 11:00 AM,11-Feb-2026 11:00 AM,01-Feb-2026 11:00 AM,10-Feb-2026 05:00 PM,NA ,NA ,01-Feb-2026 11:00 AM,10-Feb-2026 05:00 PM,Repair and Restoration of pothole and laying of drain cover slab in ward No.01 (Phase-IV),Repair and Restoration of pothole and laying of drain cover slab in ward No.01 (Phase-IV),Please refer Tender documents. ,NA ,"15,13,622",Civil Works - Others,NA ,Tender,90.0,60.0,Gunupur Municipaity area,765022.0,NA ,NA ,NA ,"Municipality office,Gunupur",No ,No,Municipal Bodies||Gunupur Municipal Council,GUN-MUN-78/2025-26,2026_ORULB_125192_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive officer,"Executive officer,Gunupur Municipaity",1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT DTCN,"6,000",0.0,Nil,Nil,No,"15,136",Yes,percentage,1.0%,Nil,Nil,AOC,"Executive Officer,Gunupur Municipality",Internal,"Municipal Engineer Gunupur Municipality, Asst. Colloctor, O/o Sub-Collector, Gunupur , Executive Officer,Gunupur Municipality, Chairperson Gunupur Municipality",Santosha Kumar Naik,16-Mar-2026 09:18 PM,finsummary_578597.pdf (6781.35 KB),Chairperson Gunupur Municipality,Internal,"Municipal Engineer Gunupur Municipality, Asst. Colloctor, O/o Sub-Collector, Gunupur , Executive Officer,Gunupur Municipality, Chairperson Gunupur Municipality",Aditya Kumar Mishra,22-Feb-2026 05:51 PM,techsummary_578597.pdf (5393.20 KB),27-Apr-2026,"INR 1,786,074",60.0,Dandapati Yudhistir,27-Apr-2026 08:55 PM,24aw.pdf (335.00 KB),The total contract value includes GST,1,3384121,Anil Kumar Bishoyi,06-Feb-2026 06:42 PM,Rejected-Finance,LOST IN TRANSPARENT LOTTERY PROCESS,16-Mar-2026 09:18 PM,Municipal Bodies||Gunupur Municipal Council,2026_ORULB_125192_24,GUN-MUN-78/2025-26,Repair and Restoration of pothole and laying of drain cover slab in ward No.01 (Phase-IV),1.0,3390240.0,SUNKARI SIBORAM KRISHNA,INR,"1,786,074",Finance,opened,Aditya Kumar Mishra,19-Feb-2026 09:20 AM,finance_578597.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,3388324,BALAJI BAURI (SC),09-Feb-2026 05:20 PM,Rejected-Finance,LOST IN TRANSPARENT LOTTERY PROCESS,16-Mar-2026 09:18 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,3388715,BALAJI PANIGRAHI,09-Feb-2026 08:48 PM,Rejected-Finance,LOST IN TRANSPARENT LOTTERY PROCESS,16-Mar-2026 09:18 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,3389891,CHINNARI VENKATA KRISHNA RAO,10-Feb-2026 11:26 AM,Rejected-Finance,LOST IN TRANSPARENT LOTTERY PROCESS,16-Mar-2026 09:18 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,3388756,GUNTAMUKALA GOWRI SANKAR RAO,10-Feb-2026 10:05 AM,Rejected-Finance,LOST IN TRANSPARENT LOTTERY PROCESS,16-Mar-2026 09:18 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,3390254,MONARANJAN PANDA,10-Feb-2026 01:03 PM,Rejected-Finance,LOST IN TRANSPARENT LOTTERY PROCESS,16-Mar-2026 09:18 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,3388056,PRABHAT KUMAR MISHRA,09-Feb-2026 06:35 PM,Rejected-Finance,LOST IN TRANSPARENT LOTTERY PROCESS,16-Mar-2026 09:18 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,3383325,PRASANT KUMAR MISHRA,10-Feb-2026 09:42 AM,Rejected-Finance,LOST IN TRANSPARENT LOTTERY PROCESS,16-Mar-2026 09:18 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,3389334,PRIYANKA PANDA,10-Feb-2026 04:16 PM,Rejected-Finance,LOST IN TRANSPARENT LOTTERY PROCESS,16-Mar-2026 09:18 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,3384990,RAKESH KUMAR PATRO,07-Feb-2026 05:31 PM,Rejected-Finance,LOST IN TRANSPARENT LOTTERY PROCESS,16-Mar-2026 09:18 PM,,,,,,,,,,,,,,,,AOC
