Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,Financial Bid,Sujata Mishra,09-Apr-2026 04:34 PM,finance_576964.pdf,BOQ Comparative Chart,"Collector, Kalahandi",Internal,"Addl magistrate General Kalahandi , RTO Kalahandi, DLO Kalahandi, DSWO Kalahandi , Chief CSO Kalahandi",Sujata Mishra,14-Feb-2026 01:00 PM,17-Feb-2026 11:00 AM,techsummary_576964.pdf (546.50 KB),09-Apr-2026,"INR 1,098,733",480.0,Sujata Mishra,09-Apr-2026 05:26 PM,tenderfinal.pdf (3126.00 KB),1,3380563,AMBIKA PRASAD PANDA,06-Feb-2026 03:41 PM,Accepted-AOC,SELECTED,09-Apr-2026 05:26 PM,1.0,3380563.0,AMBIKA PRASAD PANDA,INR,"1,098,733","Collector, Kalahandi",Internal,DSWO KLD RTO KLD DLO KLD CCSO KLD ADDL DM GEN KLD,Sujata Mishra,09-Apr-2026 04:58 PM,finsummary_576964.pdf (3125.63 KB),Technical,Level-II transport contractor for transportation of CMR from RRC-cum-DSC to FPS of Bhawanipatna MPL both bidder are Admitted.,Sujata Mishra,14-Feb-2026 12:55 PM,technical_576964.pdf,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Kalahandi,2026_OSCSC_124879_1,145/20.01.2026,Appointment of level-II transport contractor for transportation of CMR from RRC-cum-DSC to FPS of Bhawanipatna MPL.,AOC,1,Fee/PreQual/Technical,.pdf,Appointment of level-II transport contractor for transportation of CMR from RRC-cum-DSC to FPS.,1,ICICI BANK,"1,00,000",No,fixed,,Nil,Nil,Appointment of level-II transport contractor for transportation of CMR from RRC-cum-DSC to FPS of Bhawanipatna MPL.,For Appointment of level-II transport contractor for transportation of CMR from RRC-cum-DSC to FPS of Bhawanipatna MPL.,Please refers to tender documents. ,NA ,"10,98,733",Handling and Transportation,NA ,Rate Contract,180.0,480.0,"Kalahandi, Bhawanipatna MPL",766001.0,"Office of the CCSO-cum-DM, OSCSC Ltd., Kalahandi ","Office of the Chief CSO-cum-District Manager, OSCSC Ltd., Kalahandi, Bhawanipatna, 766001 ",27-Jan-2026 11:00 AM ,"Office of the CCSO-cum-DM, OSCSC Ltd., Kalahandi",No ,No,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Kalahandi,145/20.01.2026,2026_OSCSC_124879_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,"CCSO-cum-DM, OSCSC Ltd., Kalahandi","Office of the Chief CSO-cum-District Manager, OSCSC Ltd., Kalahandi, Bhawanipatna, 766001","5,900",0.0,Nil,Nil,No,22-Jan-2026 05:30 PM,07-Feb-2026 11:00 AM,22-Jan-2026 05:30 PM,06-Feb-2026 05:00 PM,22-Jan-2026 05:30 PM ,26-Jan-2026 05:00 PM ,22-Jan-2026 05:30 PM,06-Feb-2026 05:00 PM,17-Feb-2026 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,2,3383409,BRAJENDRA KUMAR MEHER,06-Feb-2026 04:56 PM,Not Admitted-Finance,Others-In Point 4.1 in tender documents bidder furnish capability certificate from any nationalised or scheduled bank indicating his financial capability for an amount not less than Rs 25 lakhs and issued not prior to 3 months from publication of Tender,09-Apr-2026 04:34 PM,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,Appointment of level-II transport contractor for transportation of CMR from RRC-cum-DSC to FPS(BOQ).,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
