Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,opened,Aditya Kumar Mishra,18-Feb-2026 10:32 PM,finance_578265.pdf,BOQ Comparative Chart,27-Apr-2026,"INR 593,216.18",90.0,Dandapati Yudhistir,27-Apr-2026 08:00 PM,10.pdf (460.00 KB),The contract Value excluding GST,1.0,3386150.0,PRABHAT KUMAR NAYAK,INR,"593,216.18",Municipal Bodies||Gunupur Municipal Council,2026_ORULB_125192_10,GUN-MUN-78/2025-26,"Construction of Rest Shed at Swashan Ghat, Marathiguda in Ward No 18",1,3383800,CHAPILI WASU,06-Feb-2026 04:26 PM,Rejected-Finance,LOST IN TRANSPARENT LOTTERY PROCESS,18-Mar-2026 05:17 PM,Chairperson Gunupur Municpaity,Internal,"Municipal Engineer Gunupur Municipality, Asst. Colloctor, O/o Sub-Collector, Gunupur , Executive Officer,Gunupur Municipality, Chairperson Gunupur Municipality",Aditya Kumar Mishra,22-Feb-2026 05:22 PM,techsummary_578265.pdf (5393.20 KB),"Executive Officer,Gunupur Municipality",Internal,"Municipal Engineer Gunupur Municipality, Asst. Colloctor, O/o Sub-Collector, Gunupur , Executive Officer,Gunupur Municipality, Chairperson Gunupur Municipality",Santosha Kumar Naik,18-Mar-2026 05:17 PM,finsummary_578265.pdf (6781.35 KB),AOC,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT DTCN,"5,932",Yes,percentage,1.0%,Nil,Nil,"Construction of Rest Shed at Swashan Ghat, Marathiguda in Ward No 18","Construction of Rest Shed at Swashan Ghat, Marathiguda in Ward No 18",Please refer Tender documents. ,NA ,"5,93,216",Civil Works - Buildings,NA ,Tender,90.0,90.0,Gunupur Municipality area,765022.0,NA ,NA ,NA ,"Municipality office,Gunupur",No ,No,1.0,ICICI BANK,Executive officer,"Executive officer ,Gunupur Municpality",Municipal Bodies||Gunupur Municipal Council,GUN-MUN-78/2025-26,2026_ORULB_125192_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,01-Feb-2026 11:00 AM,11-Feb-2026 11:00 AM,01-Feb-2026 11:00 AM,10-Feb-2026 05:00 PM,NA ,NA ,01-Feb-2026 11:00 AM,10-Feb-2026 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,2,3389564,JANI VENKATA RAO BAURI,10-Feb-2026 10:37 AM,Rejected-Finance,LOST IN TRANSPARENT LOTTERY PROCESS,18-Mar-2026 05:17 PM,,,,,,,,,,,,,AOC,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3386150,PRABHAT KUMAR NAYAK,08-Feb-2026 05:23 PM,Accepted-AOC,Successful bidder ( L1 in transparent lottery process) . the awarded value excluding GST,27-Apr-2026 08:00 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3389215,PRIYANKA PANDA,10-Feb-2026 03:48 PM,Rejected-Finance,LOST IN TRANSPARENT LOTTERY PROCESS,18-Mar-2026 05:17 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3389080,RAKESH KUMAR PATRO,09-Feb-2026 10:31 PM,Rejected-Finance,LOST IN TRANSPARENT LOTTERY PROCESS,18-Mar-2026 05:17 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
