Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
"2,000",0.0,Nil,Nil,No,"Executive Officer, soro Municipality","Executive Officer, soro Municipality",05-Dec-2025 10:00 AM,16-Dec-2025 10:00 AM,05-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,NA ,NA ,05-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,"1,695",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Registration Certificate, PAN Card, PAN Card, Affidavits and as per DTCN",Municipal Bodies||Soro Municipality,SOROM_06_2025-26,2025_ORULB_122362_37,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,Fixing of Hume Pipe at Dadhia Pole Drain in Ward No.- 09,Fixing work,Please refer to the tender document. ,NA ,"1,69,492",Civil Works - Others,NA ,Tender,120.0,90.0,"Soro Municipality, Soro",756045.0,NA ,NA ,NA ,"Office of the Soro Municipality, Soro",No ,No,AOC,"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,04-Apr-2026 05:16 PM,techsummary_569016.pdf (1034.49 KB),"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,06-Apr-2026 08:51 AM,finsummary_569016.pdf (1034.49 KB),Finance,3 Bidders have participated and all have quoted the same price.,Sanjaya Kumar Sena,19-Dec-2025 04:04 PM,,BOQ Comparative Chart,1,3299948,BISWORANJAN DAS,15-Dec-2025 11:33 AM,Rejected-Finance,L1,06-Apr-2026 08:51 AM,1.0,3300669.0,MANARANJAN PRADHAN,INR,"144,084.99",Municipal Bodies||Soro Municipality,2025_ORULB_122362_37,SOROM_06_2025-26,Fixing of Hume Pipe at Dadhia Pole Drain in Ward No.- 09,06-Apr-2026,"INR 144,084.99",90.0,Biswo Ranjan Pradhan,06-Apr-2026 08:54 AM,W37.pdf (1476.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3300669,MANARANJAN PRADHAN,14-Dec-2025 08:56 AM,Accepted-AOC,work order,06-Apr-2026 08:54 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3300335,SRIDHAR DHADA,13-Dec-2025 08:54 PM,Rejected-Finance,L1,06-Apr-2026 08:51 AM,,,,,,,,,,,,,,,,AOC
