Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Soro Municipality,SOROM_06_2025-26,2025_ORULB_122362_43,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,754",Yes,fixed,,Nil,Nil,1,ICICI BANK,Restoration of Road Amada Chhak Near Jayant mohanty House infront of CRC Building in Ward No.- 11,Restoration work,Please refer to the tender document. ,NA ,"2,75,424",Civil Works - Others,NA ,Tender,120.0,90.0,"Soro Municipality, Soro",756045.0,NA ,NA ,NA ,"Office of the Soro Municipality, Soro",No ,No,"Executive Officer, soro Municipality","Executive Officer, soro Municipality","2,000",0.0,Nil,Nil,No,05-Dec-2025 10:00 AM,16-Dec-2025 10:00 AM,05-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,NA ,NA ,05-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Registration Certificate, PAN Card, PAN Card, Affidavits and as per DTCN",AOC,"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,06-Apr-2026 09:41 AM,finsummary_569030.pdf (1061.46 KB),"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,06-Apr-2026 08:03 AM,techsummary_569030.pdf (1061.46 KB),06-Apr-2026,"INR 234,137.98",90.0,Biswo Ranjan Pradhan,06-Apr-2026 09:44 AM,W43.pdf (1069.00 KB),1,3302416,ANANTA BEHERA,15-Dec-2025 08:57 AM,Rejected-Finance,L1,06-Apr-2026 09:41 AM,1.0,3300759.0,SANTOSH PARIDA,INR,"234,137.98",Municipal Bodies||Soro Municipality,2025_ORULB_122362_43,SOROM_06_2025-26,Restoration of Road Amada Chhak Near Jayant mohanty House infront of CRC Building in Ward No.- 11,Finance,2 Bidders have participated and both have quoted the same price.,Sanjaya Kumar Sena,19-Dec-2025 05:12 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,2,3300759,SANTOSH PARIDA,14-Dec-2025 11:11 AM,Accepted-AOC,Work order,06-Apr-2026 09:44 AM,,,,,,,,,,,,,,,,AOC
