Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
28-Nov-2025 11:00 AM,17-Dec-2025 11:00 AM,28-Nov-2025 11:00 AM,16-Dec-2025 05:00 PM,NA ,NA ,28-Nov-2025 11:00 AM,16-Dec-2025 05:00 PM,03-Feb-2026 11:00 AM,Project Administrartor,ITDA Sundargarh,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,"2,93,768",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Liscence, pancard, GSTIN, Affidavits and other documents as per DTCN",Construction of 100 seated STBH at Tarkera High School in Kutra Block,Construction of 100 seated STBH at Tarkera High School in Kutra Block,Please refer Tender documents. ,NA ,"2,93,76,828",Civil Works - Buildings,NA ,Tender,90.0,330.0,Sundargarh,770001.0,NA ,NA ,NA ,ITDA Sundargarh,No ,No,ST and SC Development Deptt||ITDA Sundergarh,ITDASNG-05/2025-26,2025_STSCD_121904_19,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Technical,Tender Status,LAXMAN SAHOO,02-Feb-2026 05:55 PM,technical_566964.pdf,COLLECTOR SUNDARGARH,Internal,"AEE, ITDA, SE, MI Division and PA, ITDA, Sundargarh",LAXMAN SAHOO,13-Feb-2026 05:59 PM,finsummary_566964.pdf (628.34 KB),Finance,tender status,Sudam Chandra Patel,05-Feb-2026 12:44 PM,finance_566964.pdf,BOQ Comparative Chart,COLLECTOR SUNDARGARH,Internal,"AEE, ITDA, SE, MI Division, PA, ITDA, Sundargarh",LAXMAN SAHOO,02-Feb-2026 06:17 PM,03-Feb-2026 11:00 AM,techsummary_566964.pdf (601.13 KB),02-Apr-2026,"INR 24,973,241",330.0,LAXMAN SAHOO,09-Apr-2026 12:05 PM,Tarkera100.pdf (311.00 KB),AOC,1,3308525,ABDUL HALIM SIDDIQUE,16-Dec-2025 04:26 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:05 PM,1.0,3302813.0,RAJKISHOR MAHANANDIA,INR,"24,973,241",ST and SC Development Deptt||ITDA Sundergarh,2025_STSCD_121904_19,ITDASNG-05/2025-26,Construction of 100 seated STBH at Tarkera High School in Kutra Block,AOC
,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3307962,ABHISHEK KALIPRASANNA PUHAN,16-Dec-2025 04:03 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3295216,ADARSH CONSTRUCTION PROP.ADARSH AGARWAL,11-Dec-2025 01:40 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3288827,BHABANI SHANKAR PATEL,11-Dec-2025 09:25 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3304125,BIDYADHAR SAHOO,15-Dec-2025 03:45 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3284770,JAY PRAKASH SAHOO,11-Dec-2025 12:56 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3303362,M/S. MAA TARA CONSTRUCTION,15-Dec-2025 01:32 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3304016,NAIMAN TOPNO,15-Dec-2025 03:19 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3306581,Pankaj Kumar Agrawal,16-Dec-2025 11:42 AM,Rejected-AOC,Not qualified,09-Apr-2026 12:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3306196,PRABIR KUMAR SAMAL,16-Dec-2025 10:31 AM,Rejected-AOC,Not qualified,09-Apr-2026 12:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3302813,RAJKISHOR MAHANANDIA,15-Dec-2025 11:50 AM,Accepted-AOC,1st lowest in lottery,09-Apr-2026 12:05 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3300653,RIGAN KUMAR PATEL,14-Dec-2025 01:20 PM,Rejected-AOC,Not qualified,09-Apr-2026 12:05 PM,,,,,,,,,,AOC
