S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3430313.0,RIYAJ KHAN,INR,"1,312,406",Finance,14 NOS OF BIDDER ARE PARTICIPATED,Shrabani Routray,16-Mar-2026 12:17 PM,,BOQ Comparative Chart,SE RWD BBSR,Internal,Sr DAO AEE and Estimator,Nirmal Chandra Jena,02-Apr-2026 12:08 PM,finsummary_584533.pdf (890.86 KB),CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2026_CERWI_127069_4,Tender Online Divn. BBSR - 39/2025-26,S/R to Lendu to Sanagovindapur Road,SE RWD BBSR,Internal,Sr DAO AEE and Estimator,Nirmal Chandra Jena,02-Apr-2026 12:02 PM,techsummary_584533.pdf (890.86 KB),02-Apr-2026,"INR 1,312,406",30.0,Nirmal Chandra Jena,02-Apr-2026 12:11 PM,LENDU.pdf (891.00 KB),AoC,1,3430940,ALOK KUMAR MOHAPATRA,14-Mar-2026 04:48 PM,Rejected-Finance,Not success In lottery,02-Apr-2026 12:08 PM,AOC,SE RWD BBSR,O/o the SE RWD BBSR,S/R to Lendu to Sanagovindapur Road,S/R to Lendu to Sanagovindapur Road,Please refer Tender documents. ,NA ,"13,13,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Khordha,751013.0,NA ,NA ,NA ,O/o the SE RWD BBSR,No ,No,1.0,ICICI BANK,09-Mar-2026 02:00 PM,16-Mar-2026 11:00 AM,09-Mar-2026 02:00 PM,14-Mar-2026 05:00 PM,NA ,NA ,09-Mar-2026 02:00 PM,14-Mar-2026 05:00 PM,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GSTIN PAN Contractor RC Affidavits undertakings and any other document as per DTCN,"13,130",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,Tender Online Divn. BBSR - 39/2025-26,2026_CERWI_127069_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3429836,ASISH KUMAR RAUTARAY,13-Mar-2026 01:27 PM,Rejected-Finance,Not success In lottery,02-Apr-2026 12:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3430307,BIBHU PRASAD SAHOO,13-Mar-2026 05:39 PM,Rejected-Finance,Not success In lottery,02-Apr-2026 12:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3429780,DEBASIS ROUTARAY,13-Mar-2026 01:15 PM,Rejected-Finance,Not success In lottery,02-Apr-2026 12:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3430708,GITA DALASINGHRAY,14-Mar-2026 01:44 PM,Rejected-Finance,Not success In lottery,02-Apr-2026 12:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3430760,GUNA CHANDRA BEHERA,14-Mar-2026 02:26 PM,Rejected-Finance,Not success In lottery,02-Apr-2026 12:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3430922,HITU PRADHAN,14-Mar-2026 04:25 PM,Rejected-Finance,Not success In lottery,02-Apr-2026 12:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3430657,PRANAYA PRATIK PATTANAIK,14-Mar-2026 01:04 PM,Rejected-Finance,Not success In lottery,02-Apr-2026 12:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3430340,PRAVAKAR PRADHAN,13-Mar-2026 06:38 PM,Rejected-Finance,Not success In lottery,02-Apr-2026 12:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3430160,PRAVASINI RAUTRAY,13-Mar-2026 03:59 PM,Rejected-Finance,Not success In lottery,02-Apr-2026 12:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
