S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3412578.0,PRAGYAN PARAMITA PARIDA,INR,"29,305,192",Technical,Total 17 nos document downloaded,Usharani Behera,27-Feb-2026 12:15 PM,,CE RW I||RWCIRCLE-CUTTACK,2026_CERWI_126229_1,Tender Online RWC 1-2026,"Construction of Bridge over river Prachi at Kuainlo on Bhingarpur RD Road to Kudasahi, Via-Kuanilo in the dist of Cuttack under SBY for the year 2025-26",C.C.E.R.W.Circle Cuttack,Internal,SE RW Division Cuttack DAO RW Division Cuttack PA to CCE,Ajay Kumar Behera,16-Apr-2026 12:56 PM,finsummary_581746.pdf (406.39 KB),C.C.E.R.W.Circle Cuttack,Internal,SE RW Division Cuttack DAO RW Division Cuttack PA to CCE,Ajay Kumar Behera,11-Mar-2026 04:58 PM,16-Mar-2026 05:30 PM,techsummary_581746.pdf (624.83 KB),Finance,Total 16 nos document downloaded,Ajay Kumar Behera,16-Mar-2026 06:13 PM,,BOQ Comparative Chart,1,3411700,Bibhuti Bhusan Mohapatra,26-Feb-2026 12:57 PM,Rejected-Finance,Unsucessful bidder,16-Apr-2026 12:56 PM,16-Apr-2026,"INR 29,305,192",360.0,Ajay Kumar Behera,16-Apr-2026 01:00 PM,agmt.pdf (232.00 KB),Agmt drawn,AOC,"2,93,052",Yes,percentage,1.0%,Nil,Nil,1.0,date corrigendum,Date,,Circle Officer,"RURAL WORKS CIRCLE , CUTTACK",CE RW I||RWCIRCLE-CUTTACK,Tender Online RWC 1-2026,2026_CERWI_126229_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, RC, PAN, Registration Certificate, Labor License, No Relationship",19-Feb-2026 01:30 PM,27-Feb-2026 11:30 AM,19-Feb-2026 01:30 PM,26-Feb-2026 05:00 PM,19-Feb-2026 01:30 PM ,26-Feb-2026 02:00 PM ,19-Feb-2026 01:30 PM,26-Feb-2026 05:00 PM,16-Mar-2026 05:30 PM,"Construction of Bridge over river Prachi at Kuainlo on Bhingarpur RD Road to Kudasahi, Via-Kuanilo in the dist of Cuttack under SBY for the year 2025-26","Construction of Bridge over river Prachi at Kuainlo on Bhingarpur RD Road to Kudasahi, Via-Kuanilo in the dist of Cuttack under SBY for the year 2025-26",NA ,NA ,"2,93,05,192",Civil Works - Roads,NA ,Tender,90.0,360.0,Cuttack,753004.0,NA ,NA ,NA ,"RURAL WORKS CIRCLE , CUTTACK",No ,No,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3411648,B L ENGINEERS,26-Feb-2026 11:02 AM,Rejected-Finance,Unsucessful bidder,16-Apr-2026 12:56 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavit of Correctness Certificate undertaking duly filled, all affidavits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3409452,DEBASIS PATI,26-Feb-2026 03:49 PM,Rejected-Finance,Unsucessful bidder,16-Apr-2026 12:56 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"A.T.O from CA, Similar Nature of Work Experience Certificate, Work in Hand checklist machineries as",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3411205,MADHUSMITA SWAIN,25-Feb-2026 02:20 PM,Rejected-Finance,Unsucessful bidder,16-Apr-2026 12:56 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3412524,MANAS RANJAN MOHARANA,26-Feb-2026 12:43 PM,Rejected-Finance,Unsucessful bidder,16-Apr-2026 12:56 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3412363,M/S HK ROUT AND PARTNER,26-Feb-2026 11:39 AM,Rejected-Finance,Unsucessful bidder,16-Apr-2026 12:56 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3412301,Payal Priyadarsini,26-Feb-2026 10:58 AM,Rejected-Finance,Unsucessful bidder,16-Apr-2026 12:56 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3412578,PRAGYAN PARAMITA PARIDA,26-Feb-2026 01:03 PM,Accepted-AOC,Agmt drawn,16-Apr-2026 01:00 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3412453,RAKESH KUMAR SAHOO,26-Feb-2026 12:30 PM,Rejected-Technical,Disqualified as per clause no 14 (h) of eligibility criteria,11-Mar-2026 04:58 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3412689,SAILENDRA NARAYAN SWAIN,26-Feb-2026 01:59 PM,Rejected-Finance,Unsucessful bidder,16-Apr-2026 12:56 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3412710,SAMRAT PARIDA,26-Feb-2026 01:54 PM,Rejected-Finance,Unsucessful bidder,16-Apr-2026 12:56 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
