Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,1.0,ICICI BANK,20-Nov-2025 05:00 PM,09-Dec-2025 03:00 PM,20-Nov-2025 05:00 PM,04-Dec-2025 05:00 PM,NA ,NA ,20-Nov-2025 05:00 PM,04-Dec-2025 05:00 PM,"37,800",Yes,fixed,,Nil,Nil,Project Administrator,"Integrated Tribal Development Agency, Nabarangpur",ST and SC Development Deptt||ITDA Nabarangpur,ITDANBG-02/25-26,2025_STSCD_121639_20,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,Construction of Adivasi Sanskruti Bhawan at Nandahandi under Nandahandi Block,Construction of Adivasi Sanskruti Bhawan at Nandahandi under Nandahandi Block,C and B Class ,NA ,"37,72,811",Civil Works - Buildings,Community Hall ,Tender,90.0,180.0,Nabarangpur,764059.0,NA ,NA ,NA ,"ITDA, Nabarangpur",No ,No,AOC,"ADM, Nabarangpur",Internal,"PA, ITDA, Nabarangpur, SE, R and B Nabarangpur Division, DTO, Nabarangpur, AEE, ITDA, Nabarangpur",JAYKURBAN PETER TIRKEY,24-Feb-2026 11:33 AM,finsummary_566011.pdf (915.38 KB),"ADM, Nabarangpur",Internal,"PA, ITDA, Nabarangpur. SE, R and B Nabarangpur Division, DTO, Nabarangpur, AEE, ITDA, Nabarangpur",JAYKURBAN PETER TIRKEY,21-Feb-2026 05:35 PM,techsummary_566011.pdf (915.38 KB),ST and SC Development Deptt||ITDA Nabarangpur,2025_STSCD_121639_20,ITDANBG-02/25-26,Construction of Adivasi Sanskruti Bhawan at Nandahandi under Nandahandi Block,1.0,3278355.0,M SAWAN KUMAR SENAPATI,INR,"3,207,267",1,3278951,CHANDRAKANTA SETHI,04-Dec-2025 03:22 PM,Rejected-Finance,Disqualified in transparent Lottery system,24-Feb-2026 11:33 AM,20-Mar-2026,"INR 3,207,267",180.0,Dasarath Khemundu,08-Apr-2026 03:24 PM,NandahandiASB.pdf (492.00 KB),Finance,Bids opened successfully,JAYKURBAN PETER TIRKEY,31-Dec-2025 12:30 PM,,BOQ Comparative Chart,AOC
,,.pdf,"PAN, GST, Affidavit, Caste Certificate, Licence, Work Performance, EMD, TP Cost, Undertakings",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3273302,DEBASISH NAYAK,02-Dec-2025 10:47 PM,Rejected-Finance,Disqualified in transparent Lottery system,24-Feb-2026 11:33 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3255516,DURGA PRASAD GADABA,25-Nov-2025 08:48 PM,Rejected-AOC,L2,08-Apr-2026 03:25 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3277480,GOURISANKAR MISHRA,04-Dec-2025 11:51 AM,Rejected-Finance,Disqualified in transparent Lottery system,24-Feb-2026 11:33 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3278355,M SAWAN KUMAR SENAPATI,04-Dec-2025 01:38 PM,Accepted-AOC,L1,08-Apr-2026 03:25 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3278635,PINKU HIAL,04-Dec-2025 02:22 PM,Rejected-Finance,Disqualified in transparent Lottery system,24-Feb-2026 11:33 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3276617,PITABASH NATH,03-Dec-2025 09:23 PM,Rejected-Finance,Disqualified in transparent Lottery system,24-Feb-2026 11:33 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3278770,PRATAP DASH,04-Dec-2025 02:47 PM,Rejected-Finance,Disqualified in transparent Lottery system,24-Feb-2026 11:33 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3268633,PRAVINA KUMAR TURUK,01-Dec-2025 12:32 AM,Rejected-Finance,Disqualified in transparent Lottery system,24-Feb-2026 11:33 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3273254,SAHIL KHAN,03-Dec-2025 09:25 PM,Rejected-Finance,Disqualified in transparent Lottery system,24-Feb-2026 11:33 AM,,,,,,,,,,,,,AOC
