Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"Construction of road Harichandanpur School chhaka via Sutanati,kudia to Samantahati in the District of Balasore under MMSY TRIP for the year 25-26","Construction of road Harichandanpur School chhaka via Sutanati,kudia to Samantahati in the District of Balasore under MMSY TRIP for the year 25-26",Please refer DTCN ,NA ,"3,82,05,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Balasore,756001.0,NA ,NA ,NA ,"O/o The CCE R.W.CIRCLE, BALASORE",No ,No,1.0,Fee/PreQual/Technical,.pdf,"TENDER PAPER COST,EMD,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC",26-Jan-2026 09:00 AM,09-Feb-2026 01:00 PM,26-Jan-2026 09:00 AM,09-Feb-2026 12:00 PM,26-Jan-2026 09:00 AM ,07-Feb-2026 05:00 PM ,26-Jan-2026 09:00 AM,09-Feb-2026 12:00 PM,26-Mar-2026 05:30 PM,"10,000",0.0,Nil,Nil,No,"CCE R.W.CIRCLE, BALASORE","O/o The CCE R.W.CIRCLE, BALASORE",CE RW I||RWCIRCLE-BALASORE,CCE-BLS-NCB-51 of 2025-26,2026_CERWI_125004_27,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"3,82,050",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,1.0,4th Corrigendum,Date,,AOC,Technical,4 Number bidders participated,Durjyodhan Behera,12-Feb-2026 04:43 PM,,"CCE RW CIRCLE, BALASORE",Internal,"PA TO CCE RW CIRCLE, BALASORE AND JE ESTIMATOR CCE RW CIRCLE, BALASORE AND DAO RW DIVISION, BALASORE",Durjyodhan Behera,20-Apr-2026 04:50 PM,finsummary_577668.pdf (479.42 KB),Finance,3 Numbers bidder admitted,Durjyodhan Behera,26-Mar-2026 06:51 PM,,BOQ Comparative Chart,"CCE RW CIRCLE, BALASORE",Internal,"PA TO CCE RW CIRCLE, BALASORE AND JE ESTIMATOR CCE RW CIRCLE, BALASORE AND DAO R.W. DIVISION, BALASORE",Durjyodhan Behera,23-Mar-2026 09:50 PM,26-Mar-2026 05:30 PM,techsummary_577668.pdf (4968.27 KB),20-Apr-2026,"INR 40,382,666.58",270.0,Durjyodhan Behera,20-Apr-2026 04:53 PM,Harichandanpur.pdf (357.00 KB),Work awarded to 1st lowest bidder,CE RW I||RWCIRCLE-BALASORE,2026_CERWI_125004_27,CCE-BLS-NCB-51 of 2025-26,"Construction of road Harichandanpur School chhaka via Sutanati,kudia to Samantahati in the District of Balasore under MMSY TRIP for the year 25-26",1.0,3383195.0,Sujat Kumar Mandal,INR,"40,382,666.58",1,3386814,Ranjit Kumar Behera,09-Feb-2026 09:24 AM,Rejected-AOC,L2,20-Apr-2026 04:53 PM,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"WORK EXPERIENCE,ATO,PROFFIT LOSS ACCOUNT, MACHINERIES,ETC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3386636,SANJEEB KUMAR NAYAK,08-Feb-2026 10:05 PM,Rejected-Technical,Insufficient documents of machinery (Tipper),23-Mar-2026 09:50 PM,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3383195,Sujat Kumar Mandal,08-Feb-2026 06:57 PM,Accepted-AOC,L1,20-Apr-2026 04:53 PM,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3382950,SUMIT KUMAR BHUYAN,06-Feb-2026 04:22 PM,Rejected-AOC,L3,20-Apr-2026 04:53 PM,AOC
