Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
17-Apr-2026,"INR 1,524,638.97",120.0,Chandramani Swain,17-Apr-2026 10:07 AM,33.pdf (216.00 KB),1.0,3201358.0,lalu kishan,INR,"1,524,638.97",Municipal Bodies||Brajrajnagar Municipality,2025_ORULB_120409_33,BRJNRM -03/2025-26,Construction of Pump House Shed Room at Gupchup Pada.,1,3201358,lalu kishan,09-Nov-2025 01:22 PM,Accepted-AOC,Accepted,17-Apr-2026 10:08 AM,Finance,ok,Chandramani Swain,02-Dec-2025 12:27 PM,finance_560853.pdf,BOQ Comparative Chart,"Sri Krishna Gopal Sitani, Chairperson, Brajrajnagar Municipality.",Internal,"Accountant, Auditor, Junior Engineer, Asst. Engineer, Municipal Engineer, Executive Officer, Chairperson, Brajrajnagar Municipality.",Chandramani Swain,29-Nov-2025 12:11 PM,01-Dec-2025 11:00 AM,techsummary_560853.pdf (200.28 KB),Technical,ok,Chandramani Swain,21-Nov-2025 03:50 PM,technical_560853.pdf,"Sri Krishna Gopal Sitani, Chairperson, Brajrajnagar Municipality.",Internal,"Accountant, Auditor, Asst. Engineer, Asst. Engineer, Municipal Engineer, Executive Officer, Chairperson, Brajrajnagar Municipality.",Chandramani Swain,17-Apr-2026 10:00 AM,finsummary_560853.pdf (216.46 KB),AOC,Construction of Pump House Shed Room at Gupchup Pada.,Shed Room,Please refer Tender documents ,NA ,"18,00,000",Civil Works - Buildings,NA ,Tender,90.0,120.0,Brajrajnagar Municipality,768216.0,NA ,NA ,NA ,Brajrajnagar Municipality,No ,No,01-Nov-2025 06:00 PM,11-Nov-2025 11:00 AM,01-Nov-2025 06:00 PM,10-Nov-2025 05:00 PM,NA ,NA ,01-Nov-2025 06:00 PM,10-Nov-2025 05:00 PM,01-Dec-2025 11:00 AM,1,Fee/PreQual/Technical,.pdf,"Contractor License, T.P., E.M.D. copy, PAN, GST, Affidavit and other relevant documents of this DTCN","6,000",0.0,Nil,Nil,No,Executive Officer Brajrajnagar Municipality,Brajrajnagar Municipality At-Lamtibahal PO-Brajrajnagar Dist-Jharsuguda,1,ICICI BANK,"18,000",Yes,fixed,,Nil,Nil,Municipal Bodies||Brajrajnagar Municipality,BRJNRM -03/2025-26,2025_ORULB_120409_33,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,3201652,SOUBHAGYA SATPATHY,09-Nov-2025 02:35 PM,Rejected-AOC,Rejected,17-Apr-2026 10:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Bills of Quantity,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
