Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
SE ABD,Internal,,K PREM KUMAR,08-Apr-2026 07:01 PM,techsummary_586306.pdf (636.61 KB),08-Apr-2026,"INR 532,200",365.0,K PREM KUMAR,08-Apr-2026 07:11 PM,CCEWO.pdf (442.00 KB),1,3443359,BANSHIDHAR ROUT,30-Mar-2026 01:31 PM,Rejected-AOC,2ND LOWEST,08-Apr-2026 07:12 PM,1.0,3442873.0,M/s. Shantiram Agency,INR,"532,200",Finance,SUMMARY UPLOADED,K PREM KUMAR,31-Mar-2026 12:17 PM,finance_586306.pdf,BOQ Comparative Chart,SE ABD,Internal,,K PREM KUMAR,08-Apr-2026 07:07 PM,finsummary_586306.pdf (636.61 KB),"CCE,Anandapur Barrage Project||CCE,Anandapur||EE,Anandapur Barrage Division,Salapada",2026_CCEAB_127603_1,ABP-ABD 08/03 of 2025-26,"Engagement of hired vehicle used by the Chief Construction Engineer, Anandapur Barrage Project, Salapada for the year 2026-27",AOC,"SE,ABD,SALAPADA","O/O THE SE,ABD, SALAPADA",1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"Engagement of hired vehicle used by the Chief Construction Engineer, Anandapur Barrage Project, Salapada for the year 2026-27","Engagement of hired vehicle used by the Chief Construction Engineer, Anandapur Barrage Project, Salapada for the year 2026-27",Please refer Tender documents. ,NA ,"5,32,800",Miscellaneous Services,NA ,Tender,60.0,NA ,"SE,ABD, SALAPADA",758020.0,NA ,NA ,NA ,"O/O THE SE,ABD, SALAPADA",No ,No,"10,700",No,fixed,,Nil,Nil,26-Mar-2026 11:00 AM,31-Mar-2026 11:30 AM,26-Mar-2026 11:00 AM,31-Mar-2026 11:00 AM,NA ,NA ,26-Mar-2026 11:00 AM,31-Mar-2026 11:00 AM,0.0,0.0,Nil,Nil,No,"CCE,Anandapur Barrage Project||CCE,Anandapur||EE,Anandapur Barrage Division,Salapada",ABP-ABD 08/03 of 2025-26,2026_CCEAB_127603_1,Yes,National Competitive Bid,Lump-sum,Services,1.0,No,No,Online,No,No,No,1,ICICI BANK,AOC
,,,,,,,,,,,,2,3442873,M/s. Shantiram Agency,29-Mar-2026 06:47 PM,Accepted-AOC,1ST LOWEST,08-Apr-2026 07:12 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC
