Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,26/OPHWC/2025-26,2026_OSPHW_125315_12,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","5,03,600",Yes,fixed,,Nil,Nil,"Const. of Atal Bus Stand (C Type) at Pottangi Under Pottangi Block, Koraput",Building Work,Please refer Tender documents. ,NA ,"5,03,58,670",Civil Works - Buildings,NA ,Tender,90.0,365.0,Koraput,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,1.0,SITE PHOTOGRAPH WITH GPS CO-ORDINATES,Technical Bid,,02-Feb-2026 05:00 PM,17-Feb-2026 10:30 AM,02-Feb-2026 05:00 PM,16-Feb-2026 05:00 PM,NA ,NA ,02-Feb-2026 05:00 PM,16-Feb-2026 05:00 PM,13-Mar-2026 10:30 AM,AOC,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,Srikanta Samal,12-Mar-2026 07:14 PM,13-Mar-2026 10:30 AM,techsummary_578880.pdf (336.46 KB),Finance,Financial bid opened,LAXMIPRIYA NAYAK,13-Mar-2026 11:08 AM,,BOQ Comparative Chart,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,09-Apr-2026 04:05 PM,finsummary_578880.pdf (374.21 KB),Technical,3 Nos. of bidders have been participated,MONALISHA PADHY,17-Feb-2026 12:12 PM,,Orissa State Police Housing and Welfare Corporation Ltd,2026_OSPHW_125315_12,26/OPHWC/2025-26,"Const. of Atal Bus Stand (C Type) at Pottangi Under Pottangi Block, Koraput",1.0,3399200.0,KT CONSTRUCTION,INR,"46,450,837",1,3394509,Biswa Bihari Pattanaik,13-Feb-2026 04:20 PM,Rejected-Finance,DUE TO L2 BIDDER,09-Apr-2026 04:05 PM,09-Apr-2026,"INR 46,450,837",365.0,Bikram Keshari Malla,09-Apr-2026 04:09 PM,POTTANGI.pdf (82.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 07.04.2026,AOC
,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3399200,KT CONSTRUCTION,16-Feb-2026 04:14 PM,Accepted-AOC,QUALIFIED BIDDER,09-Apr-2026 04:11 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3397177,PRAKASH KUMAR NAHAK,15-Feb-2026 07:07 PM,Rejected-Technical,Non securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,12-Mar-2026 07:14 PM,,,,,,,,AOC
