Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Soro Municipality,SOROM_06_2025-26,2025_ORULB_122362_45,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of CC Drain from L.N Nayak House towards Near Bamphi Chhak Park in Ward No.- 12,Construction work,Please refer to the tender document. ,NA ,"2,54,237",Civil Works - Others,NA ,Tender,120.0,90.0,"Soro Municipality, Soro",756045.0,NA ,NA ,NA ,"Office of the Soro Municipality, Soro",No ,No,05-Dec-2025 10:00 AM,16-Dec-2025 10:00 AM,05-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,NA ,NA ,05-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,"2,542",Yes,fixed,,Nil,Nil,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Registration Certificate, PAN Card, PAN Card, Affidavits and as per DTCN","Executive Officer, soro Municipality","Executive Officer, soro Municipality","2,000",0.0,Nil,Nil,No,AOC,"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,06-Apr-2026 09:58 AM,finsummary_569034.pdf (726.12 KB),"EO, ME, JE, BFO, STO, Chairperson",Internal,"EO, ME, JE, BFO, STO, Chairperson",Biswo Ranjan Pradhan,06-Apr-2026 08:08 AM,techsummary_569034.pdf (726.12 KB),06-Apr-2026,"INR 216,126.68",90.0,Biswo Ranjan Pradhan,06-Apr-2026 10:02 AM,W45.pdf (630.00 KB),1,3302952,BISWORANJAN DAS,15-Dec-2025 01:27 PM,Accepted-AOC,Work order,06-Apr-2026 10:02 AM,1.0,3302952.0,BISWORANJAN DAS,INR,"216,126.68",Municipal Bodies||Soro Municipality,2025_ORULB_122362_45,SOROM_06_2025-26,Construction of CC Drain from L.N Nayak House towards Near Bamphi Chhak Park in Ward No.- 12,Finance,2 Bidders have participated and both have quoted the same price.,Sanjaya Kumar Sena,19-Dec-2025 05:19 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3301598,JAJATIKESHARI PRADHAN,14-Dec-2025 05:56 PM,Rejected-Finance,L1,06-Apr-2026 09:58 AM,,,,,,,,,,,,,,,,AOC
