S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Name,Address,Tender Stage
1.0,3371140.0,CHANDRA SEKHAR SAHOO,INR,"1,802,648",Finance,Two bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Sanjukta Sa,09-Feb-2026 12:14 PM,finance_577160.pdf,BOQ Comparative Chart,Deputy Executive Engineer,Internal,Executive Engineer,Sanjukta Sa,08-Apr-2026 12:07 PM,finsummary_577160.pdf (74.93 KB),Municipal Bodies||Cuttack Municipal Corporation,2026_ORULB_124261_7,CMC)CTC_Div-IIINo.34/25-26,Construction of drain and road from Devilane to Ramesh Hotel in the side of OSAP boundary in Ward No.43.,Deputy Executive Engineer,Internal,Executive Engineer,Sanjukta Sa,08-Apr-2026 11:40 AM,techsummary_577160.pdf (74.93 KB),1,3371140,CHANDRA SEKHAR SAHOO,28-Jan-2026 08:29 PM,Accepted-AOC,Accepted,08-Apr-2026 12:24 PM,08-Apr-2026,"INR 1,802,648",90.0,Sanjukta Sa,08-Apr-2026 12:24 PM,3466.pdf (754.00 KB),wo,AOC,22-Jan-2026 11:00 AM,09-Feb-2026 10:00 AM,22-Jan-2026 11:00 AM,05-Feb-2026 05:00 PM,NA ,NA ,22-Jan-2026 11:00 AM,05-Feb-2026 05:00 PM,"17,200",Yes,fixed,,Nil,Nil,Municipal Bodies||Cuttack Municipal Corporation,CMC)CTC_Div-IIINo.34/25-26,2026_ORULB_124261_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Corrigendum Notice,Other,,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online.","7,080",0.0,Nil,Nil,No,Construction of drain and road from Devilane to Ramesh Hotel in the side of OSAP boundary in Ward No.43.,Construction of drain and road from Devilane to Ramesh Hotel in the side of OSAP boundary in Ward No.43.,Please refer Tender documents. ,NA ,"17,16,808",Civil Works - Others,NA ,Tender,105.0,90.0,CMC,753012.0,NA ,NA ,NA ,"Bikash Bhawan,Jagannath Lane,Badambadi-753012",No ,No,1,ICICI BANK,"Executive Engineer, CD-III","Bikash Bhawan,Jagannath Lane,Badambadi-753012",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3373837,PRASANTA KUMAR BEHERA,30-Jan-2026 12:53 PM,Rejected-AOC,Rejected,08-Apr-2026 12:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,AOC
