Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Municipal Bodies||Kantabanji NAC,NAC-KBJ-004/2025-26,2026_ORULB_126682_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"8,800",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Documents as per DTCN,1,ICICI BANK,02-Mar-2026 11:00 AM,13-Mar-2026 11:00 AM,02-Mar-2026 11:00 AM,11-Mar-2026 05:00 PM,NA ,NA ,02-Mar-2026 11:00 AM,11-Mar-2026 05:00 PM,"4,000",0.0,Nil,Nil,No,Pot Hole Repair in Different Wards in Kantabanji NAC,Pot Hole Repair in Different Wards in Kantabanji NAC,Please refer Tender documents. ,NA ,"8,72,946",Civil Works - Roads,Pot Hole ,Tender,90.0,90.0,Kantabanji NAC,767039.0,NA ,NA ,NA ,"O/o The Executive Officer, Kantabanji NAC",No ,No,"Executive Officer, Kantabanji NAC","Kantabanji NAC, Kantabanji, Balangir, Odisha, 767039",AOC,Executive Officer,Internal,"Chhabi Podh, Executive Officer, Ashok Kumar Patnaik, Municipal Engineer, Dipty Ranjan Nanda, Assistant Engineer",Chhabi Podh,06-Apr-2026 06:10 PM,techsummary_583422.pdf (81.41 KB),Executive Officer,Internal,"Chhabi Podh, Executive Officer, Ashok Kumar Patnaik, Municipal Engineer, Dipty Ranjan Nanda, Assistant Engineer",Chhabi Podh,06-Apr-2026 07:18 PM,finsummary_583422.pdf (81.41 KB),Finance,Attached,Chhabi Podh,13-Mar-2026 03:03 PM,finance_583422.pdf,BOQ Comparative Chart,06-Apr-2026,"INR 1,029,046",90.0,Chhabi Podh,15-Apr-2026 12:42 PM,476_WorkOrder.pdf (51.00 KB),Municipal Bodies||Kantabanji NAC,2026_ORULB_126682_12,NAC-KBJ-004/2025-26,Pot Hole Repair in Different Wards in Kantabanji NAC,1.0,3425893.0,KUNAL SHARMA,INR,"1,029,046",1,3426184,JYOTIPRABHA PRADHAN,11-Mar-2026 10:58 AM,Rejected-AOC,L2 in Lottery,15-Apr-2026 12:42 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ Bid,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3425893,KUNAL SHARMA,11-Mar-2026 11:44 AM,Accepted-AOC,L1 in Lottery,15-Apr-2026 12:42 PM,AOC
