S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Tender Stage
1.0,3366524.0,SHARAD MUDULI,INR,"1,652,204",Finance,summary,Srikrushna Sabar,06-Apr-2026 06:00 PM,finance_576520.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Assistant Engineer Estimator, Divisional Accounts Officer and Junior Engineer Estimator",Srikrushna Sabar,06-Apr-2026 06:13 PM,finsummary_576520.pdf (1718.77 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-KORAPUT,2026_CERWI_124749_7,SERWKPT ONLINE 09/2025-26,Special Repair to L066-PS Road to Runjaguda of Dasmantpur Block for the year 2025-26.,Executive Engineer,Internal,"Assistant Engineer Estimator, Divisional Accounts Officer and Junior Engineer Estimator",Srikrushna Sabar,06-Apr-2026 06:05 PM,techsummary_576520.pdf (1718.77 KB),06-Apr-2026,"INR 1,652,204",30.0,Srikrushna Sabar,06-Apr-2026 06:18 PM,Runjhaguda_A.pdf (568.00 KB),AGREEMENT DRAWN,1,3368946,AMLANJYOTI PATNAIK,27-Jan-2026 05:13 PM,Rejected-AOC,Lost in lottery,06-Apr-2026 06:18 PM,AOC,"25,420",Yes,fixed,,Nil,Nil,Special Repair to L066-PS Road to Runjaguda of Dasmantpur Block for the year 2025-26.,Special Repair to L066-PS Road to Runjaguda of Dasmantpur Block for the year 2025-26.,Please refer Tender documents. ,NA ,"25,41,853",Civil Works - Roads,NA ,Tender,90.0,30.0,Koraput,764020.0,NA ,NA ,NA ,"Rural Works Division, Koraput",No ,No,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-KORAPUT,SERWKPT ONLINE 09/2025-26,2026_CERWI_124749_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration certificate, GSTIN, PAN, affidavit and other tender related documents",19-Jan-2026 10:00 AM,28-Jan-2026 11:00 AM,19-Jan-2026 10:00 AM,27-Jan-2026 05:30 PM,19-Jan-2026 10:00 AM ,27-Jan-2026 05:30 PM ,19-Jan-2026 10:00 AM,27-Jan-2026 05:30 PM,"6,000",0.0,Nil,Nil,No,"Rural Works Division, Koraput","Rural Works Division, Koraput",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3361998,Budu Beniya,20-Jan-2026 08:28 PM,Rejected-AOC,Lost in lottery,06-Apr-2026 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3365910,CHANCHAL KUMAR NAYAK,26-Jan-2026 03:57 PM,Rejected-AOC,Lost in lottery,06-Apr-2026 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3363621,CHANDANA MISHRA,23-Jan-2026 01:55 PM,Rejected-AOC,Lost in lottery,06-Apr-2026 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3366914,Damburu Guntha,26-Jan-2026 10:28 PM,Rejected-AOC,Lost in lottery,06-Apr-2026 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3365793,JAGANATH BISOI,26-Jan-2026 11:29 AM,Rejected-AOC,Lost in lottery,06-Apr-2026 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3368035,JOGESH DAMI,27-Jan-2026 01:25 PM,Rejected-AOC,Lost in lottery,06-Apr-2026 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3362041,LIPUN PRADHAN,20-Jan-2026 09:24 PM,Rejected-AOC,Lost in lottery,06-Apr-2026 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3366387,PRAMOD KISHORE KHORA,26-Jan-2026 08:43 PM,Rejected-AOC,Lost in lottery,06-Apr-2026 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3367361,PRAPHULLA MUDULI,27-Jan-2026 11:15 AM,Rejected-AOC,Lost in lottery,06-Apr-2026 06:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
