Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Superintending Engineer,Internal,"Sr.DAO, AEE and Estimator",Nirmal Chandra Jena,09-Apr-2026 01:12 PM,techsummary_584561.pdf (573.32 KB),1,3430759,CHITTA RANJAN DASH,14-Mar-2026 02:18 PM,Rejected-Finance,Not success in lottery,09-Apr-2026 01:16 PM,09-Apr-2026,"INR 1,681,001",30.0,Nirmal Chandra Jena,09-Apr-2026 01:20 PM,aocitapokhari.pdf (269.00 KB),AoC,Finance,10 nos of bidder are participated,Nirmal Chandra Jena,16-Mar-2026 12:30 PM,,BOQ Comparative Chart,1.0,3430420.0,JAGANATH SAHOO,INR,"1,681,001",CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2026_CERWI_127073_9,Tender Online Divn. BBSR - 39/2025-26,S/R to KBC (Kundhei Branch Canal) to Itapokhari road for the year 2025-26,Superintending Engineer,Internal,"Sr. DAO, AEE and Estimator",Nirmal Chandra Jena,09-Apr-2026 01:16 PM,finsummary_584561.pdf (573.32 KB),AOC,09-Mar-2026 04:00 PM,16-Mar-2026 11:00 AM,09-Mar-2026 04:00 PM,14-Mar-2026 05:00 PM,NA ,NA ,09-Mar-2026 04:00 PM,14-Mar-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GSTIN PAN Contractor RC Affidavits undertakings and any other document as per DTCN,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,Tender Online Divn. BBSR - 39/2025-26,2026_CERWI_127073_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"16,950",Yes,percentage,1.0%,Nil,Nil,S.E. R.W. Divn. BBSR,O/o S.E. R.W. Divn. BBSR,1.0,ICICI BANK,S/R to KBC (Kundhei Branch Canal) to Itapokhari road for the year 2025-26,S/R to KBC (Kundhei Branch Canal) to Itapokhari road for the year 2025-26,Please refer Tender documents. ,NA ,"16,95,000",Civil Works - Roads,NA ,Tender,90.0,30.0,S.E. R.W. Divn. BBSR,751013.0,NA ,NA ,NA ,O/o S.E. R.W. Divn. BBSR,No ,No,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,2,3430574,DESABANDHU JENA,14-Mar-2026 12:20 PM,Rejected-Finance,Not success in lottery,09-Apr-2026 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3,3430137,DJ CONSTRUCTIONS,13-Mar-2026 03:46 PM,Rejected-Finance,Not success in lottery,09-Apr-2026 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,3429065,HRUDANANDA MISHRA,13-Mar-2026 08:44 PM,Rejected-Finance,Not success in lottery,09-Apr-2026 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,3430420,JAGANATH SAHOO,14-Mar-2026 11:59 AM,Accepted-AOC,L1 Bidder,09-Apr-2026 01:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,3430869,JAY MAHADEV CONSTRUCTION,14-Mar-2026 04:20 PM,Rejected-Finance,Not success in lottery,09-Apr-2026 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,3430698,MANGARAJ BARIK,14-Mar-2026 02:36 PM,Rejected-Finance,Not success in lottery,09-Apr-2026 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,3428929,MANOJ KUMAR DAS,12-Mar-2026 05:35 PM,Rejected-Finance,Not success in lottery,09-Apr-2026 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,3430613,PURNIMA PARIDA,14-Mar-2026 12:42 PM,Rejected-Finance,Not success in lottery,09-Apr-2026 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,3430438,SUBHADRA RAUL,14-Mar-2026 11:37 AM,Rejected-Finance,Not success in lottery,09-Apr-2026 01:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
