Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
12-Feb-2026 06:55 PM,02-Mar-2026 10:30 AM,12-Feb-2026 06:55 PM,27-Feb-2026 05:00 PM,NA ,NA ,12-Feb-2026 06:55 PM,27-Feb-2026 05:00 PM,25-Mar-2026 10:30 AM,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,1.0,ICICI BANK,"Construction of Atal Bus Stand (C-Type) at Bealsara under Tangarapali Block, Sundergarh",Building Work,Please refer Tender documents. ,NA ,"10,64,32,953",Civil Works - Buildings,NA ,Tender,90.0,450.0,Sundergarh,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",Orissa State Police Housing and Welfare Corporation Ltd,27/OPHWC/2025-26,2026_OSPHW_125938_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,64,300",Yes,fixed,,Nil,Nil,"11,800",0.0,Nil,Nil,No,AOC,Orissa State Police Housing and Welfare Corporation Ltd,2026_OSPHW_125938_5,27/OPHWC/2025-26,"Construction of Atal Bus Stand (C-Type) at Bealsara under Tangarapali Block, Sundergarh",Technical,8 Nos. of bidders have been participated,MONALISHA PADHY,02-Mar-2026 11:37 AM,,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,10-Apr-2026 04:15 PM,finsummary_581015.pdf (351.13 KB),1.0,3413819.0,NIRAKAR SAMAL,INR,"93,873,865",1,3414421,BIJAY KETAN BHATTA,27-Feb-2026 04:53 PM,Rejected-Technical,Non submission of adequate valid documents to secure qualifying marks in Sch C as per DTCN Cl. No. 13 and 110(f).,24-Mar-2026 06:45 PM,10-Apr-2026,"INR 93,873,865",450.0,Bikram Keshari Malla,10-Apr-2026 04:21 PM,BEALSARA.pdf (82.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 07.04.2026,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,Srikanta Samal,24-Mar-2026 06:45 PM,25-Mar-2026 10:30 AM,techsummary_581015.pdf (240.60 KB),Finance,Financial bid opened,LAXMIPRIYA NAYAK,25-Mar-2026 11:04 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3413170,BKM CONSTRUCTION PVT.LTD,27-Feb-2026 02:38 PM,Rejected-Finance,DUE TO L2 BIDDER,10-Apr-2026 04:15 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3413613,DMR Builders Pvt. Ltd.,27-Feb-2026 03:19 PM,Rejected-Technical,Non submission of Sch G as per DTCN Cl. 12 and 110(j).,24-Mar-2026 06:45 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3413851,M/s Lalitendu Satpathy,27-Feb-2026 03:21 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,24-Mar-2026 06:45 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3413819,NIRAKAR SAMAL,27-Feb-2026 12:37 PM,Accepted-AOC,QUALIFIED BIDDER,10-Apr-2026 04:21 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3414245,PARAG AGRAWAL,27-Feb-2026 03:47 PM,Rejected-Technical,Non securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,24-Mar-2026 06:45 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3408931,Rajesh Kumar Panda,27-Feb-2026 02:18 PM,Rejected-Technical,Non submission of adequate similar nature of work as per DTCN Cl. No. 11 and 110(k) and adequate valid documents to secure qualifying marks in Sch C as per DTCN Cl. No. 13 and 110(f).,24-Mar-2026 06:45 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3413760,SHREE SHYAMJEE CONSTRUCTIONS PVT LTD,27-Feb-2026 04:02 PM,Rejected-Technical,Non submission of valid Electrical MOU as per DTCN Cl. No. 10 and 110(h) and valid Fire Fighting MOU as per DTCN Cl. No. 10 (vi) and 110(i).,24-Mar-2026 06:45 PM,,,,,,,,,,,,,,,,,,,,,AOC
