S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,Construction and Elivate Boundary Wall of Childrens Park in Ward No. 14,Construction and Elivate Boundary Wall of Childrens Park in Ward No. 14,Please refer Tender documents. ,NA ,"16,94,918",Civil Works - Others,Park ,Tender,90.0,90.0,Kantabanji NAC,767039.0,NA ,NA ,NA ,"O/o The Executive Officer, Kantabanji NAC",No ,No,"17,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Documents as per DTCN,Municipal Bodies||Kantabanji NAC,NAC-KBJ-004/2025-26,2026_ORULB_126682_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Officer, Kantabanji NAC","Kantabanji NAC, Kantabanji, Balangir, Odisha, 767039","6,000",0.0,Nil,Nil,No,02-Mar-2026 11:00 AM,13-Mar-2026 11:00 AM,02-Mar-2026 11:00 AM,11-Mar-2026 05:00 PM,NA ,NA ,02-Mar-2026 11:00 AM,11-Mar-2026 05:00 PM,AOC,1,3426761,ARYA INFRASTRCTURE,11-Mar-2026 01:04 PM,Rejected-AOC,L3 in Lottery,15-Apr-2026 12:16 PM,06-Apr-2026,"INR 1,998,003",90.0,Chhabi Podh,15-Apr-2026 12:16 PM,536_WorkOrder.pdf (57.00 KB),Executive Officer,Internal,"Chhabi Podh, Executive Officer, Ashok Kumar Patnaik, Municipal Engineer, Dipty Ranjan Nanda, Assistant Engineer",Chhabi Podh,06-Apr-2026 05:50 PM,techsummary_583403.pdf (88.29 KB),Municipal Bodies||Kantabanji NAC,2026_ORULB_126682_8,NAC-KBJ-004/2025-26,Construction and Elivate Boundary Wall of Childrens Park in Ward No. 14,Executive Officer,Internal,"Chhabi Podh, Executive Officer, Ashok Kumar Patnaik, Municipal Engineer, Dipty Ranjan Nanda, Assistant Engineer",Chhabi Podh,06-Apr-2026 07:00 PM,finsummary_583403.pdf (88.29 KB),Finance,Attached,Chhabi Podh,13-Mar-2026 01:39 PM,finance_583403.pdf,BOQ Comparative Chart,1.0,3425906.0,KUNAL SHARMA,INR,"1,998,003",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3426188,JYOTIPRABHA PRADHAN,11-Mar-2026 11:05 AM,Rejected-AOC,L2 in Lottery,15-Apr-2026 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3425906,KUNAL SHARMA,11-Mar-2026 12:19 PM,Accepted-AOC,L1 in Lottery,15-Apr-2026 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
