EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"51,620",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - I,OT-15/SERWDG-I/2025-26,2026_CERWI_124313_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"E.E., R.W. Division-I, Ganjam, Berhampur","O/o the S.E., R.W. Division No.-I, In-front of De-paul School, Engineering School Road, Ganjam, Berhampur, 760010","10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, E.M.D., PAN, GSTIN, Affidavit, Contractor R.C. and all other documents as per DTCN",1.0,ICICI BANK,Construction of R.W. Sub-Division office Building Buguda for the year 2025-26.,Construction of R.W. Sub-Division office Building Buguda for the year 2025-26.,NA ,NA ,"51,62,000",Civil Works - Buildings,NA ,Tender,90.0,270.0,Berhampur,760010.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO-I, GANJAM, BERHAMPUR",No ,No,07-Jan-2026 05:00 PM,16-Jan-2026 11:00 AM,07-Jan-2026 05:00 PM,15-Jan-2026 05:00 PM,07-Jan-2026 05:00 PM ,14-Jan-2026 03:00 PM ,07-Jan-2026 05:00 PM,15-Jan-2026 05:00 PM,30-Jan-2026 11:30 AM,AOC,15-Apr-2026,"INR 4,249,474",270.0,Rasmita Kumari Sahu,15-Apr-2026 12:38 PM,AOC1.pdf (391.00 KB),165P1 / 2025-26,1,3356145,BISHOYI CONSTRUCTION,15-Jan-2026 04:21 PM,Rejected-AOC,After drawl of transparent lottery,15-Apr-2026 12:39 PM,Finance,Bid opening Summary,Rasmita Kumari Sahu,15-Apr-2026 12:24 PM,finance_574840.pdf,BOQ Comparative Chart,"Executive Engineer, R.W. Division No.-I, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, J.E. (Estr) of R.W. Division No.-I, Ganjam, Berhampur",Rasmita Kumari Sahu,22-Jan-2026 06:40 PM,30-Jan-2026 11:30 AM,techsummary_574840.pdf (254.41 KB),"Executive Engineer, R.W. Division No.-I, Ganjam, Berhampur",Internal,"D.A.O., J.E. (Estr) of R.W. Division No.-I, Ganjam, Berhampur",Rasmita Kumari Sahu,15-Apr-2026 12:33 PM,finsummary_574840.pdf (603.50 KB),Technical,Bid opening Summary,Rasmita Kumari Sahu,22-Jan-2026 06:34 PM,technical_574840.pdf,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - I,2026_CERWI_124313_1,OT-15/SERWDG-I/2025-26,Construction of R.W. Sub-Division office Building Buguda for the year 2025-26.,1.0,3355679.0,Santosh Kumar Praharaj,INR,"4,249,474",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity (BOQ),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3355476,CHINMAYA KUMAR DASH,15-Jan-2026 01:32 PM,Rejected-Technical,As per DTCN Clause No.1.2.7,22-Jan-2026 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3352556,Debaraj Sethi,13-Jan-2026 12:43 PM,Rejected-AOC,After drawl of transparent lottery,15-Apr-2026 12:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3355523,DIPAK KUMAR SAHU,15-Jan-2026 03:07 PM,Rejected-AOC,After drawl of transparent lottery,15-Apr-2026 12:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3354663,Jyotiranjan Panda,14-Jan-2026 11:37 PM,Rejected-AOC,After drawl of transparent lottery,15-Apr-2026 12:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3350900,KALU CHARAN MALIK,11-Jan-2026 05:45 PM,Rejected-Technical,As per DTCN Clause No.1.2.7,22-Jan-2026 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3356103,Sachidananda Sahu,15-Jan-2026 04:21 PM,Rejected-AOC,After drawl of transparent lottery,15-Apr-2026 12:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3355679,Santosh Kumar Praharaj,15-Jan-2026 02:23 PM,Accepted-AOC,After drawl of transparent lottery,15-Apr-2026 12:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3355571,SARATHI NAHAK,15-Jan-2026 02:01 PM,Rejected-AOC,After drawl of transparent lottery,15-Apr-2026 12:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3354531,SUSANTA BEHERA,14-Jan-2026 09:52 PM,Rejected-AOC,After drawl of transparent lottery,15-Apr-2026 12:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
