Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Karanjia,BID ID NO.24 EELID (KJA/2025-26) DATE. 07.03.2026,2026_OLIC_127120_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,080",0.0,Nil,Nil,No,10-Mar-2026 01:00 PM,23-Mar-2026 11:00 AM,10-Mar-2026 01:00 PM,20-Mar-2026 05:00 PM,10-Mar-2026 01:00 PM ,16-Mar-2026 05:00 PM ,10-Mar-2026 03:00 PM,20-Mar-2026 05:00 PM,Installation and energisation of Indupur VI RL LIP under Sukruli Block in Mayurbhanj District,Installation and energisation of Indupur VI RL LIP under Sukruli Block in Mayurbhanj District,Please refer Tender documents. ,NA ,"29,92,771",Civil Works - Lift Irrigation Schemes,NA ,Tender,365.0,90.0,Karanjia,757037.0,NA ,NA ,NA ,"EE, L.I Division, Karanjia",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender paper cost EMD PAN GST certificate Civil HT License Experience Agreement JV as per DTCN,1.0,Technical Corrigendum,Technical Bid,,1,ICICI BANK,"29,928",Yes,percentage,1.0%,Nil,Nil,"EE, L.I Division, Karanjia","EE, L.I Division, Karanjia, Ankura, Karnjia, Mayurbhanj, Odisha, 757037",AOC,20-Apr-2026,"INR 2,627,653",90.0,KAMALA KANTA BEHERA,20-Apr-2026 01:12 PM,Indupur.pdf (238.00 KB),Executive Engineer,Internal,,KAMALA KANTA BEHERA,20-Apr-2026 12:48 PM,finsummary_584662.pdf (547.05 KB),Finance,2 nos. bidder participated in this tender and all are accepted,KAMALA KANTA BEHERA,20-Apr-2026 12:17 PM,finance_584662.pdf,BOQ Comparative Chart,1,3437027,MAHESWAR CHAKRA,20-Mar-2026 04:58 PM,Accepted-AOC,Work awarded after execution of Agreement,20-Apr-2026 01:13 PM,1.0,3437027.0,MAHESWAR CHAKRA,INR,"2,627,653",Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Karanjia,2026_OLIC_127120_3,BID ID NO.24 EELID (KJA/2025-26) DATE. 07.03.2026,Installation and energisation of Indupur VI RL LIP under Sukruli Block in Mayurbhanj District,Executive Engineer,Internal,,KAMALA KANTA BEHERA,20-Apr-2026 12:32 PM,techsummary_584662.pdf (547.05 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,2,ICICI NEFT/RTGS,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3436121,SUJATA NAHAK,19-Mar-2026 04:14 PM,Rejected-AOC,unsucsecful bidder l2,20-Apr-2026 01:13 PM,,,,,,,,,,,,,,,,AOC
