S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,3274031.0,AKSHAYA KUMAR BEHERA,INR,"1,693,318",Finance,All 14 bidders are applied,Chinmaya Das,08-Apr-2026 02:15 PM,finance_565893.pdf,BOQ Comparative Chart,"Sasmita Sahoo, Chairperson",Internal,"E.O, Nimapara NAC, M.E, Nimapara NAC, Asst.Engineer, NimaparaNAC,Asst.Engineer, Nimapara Block, Asst.Engineer, PHD WATCO, Nimapara.",Chinmaya Das,08-Apr-2026 02:37 PM,finsummary_565893.pdf (408.39 KB),Municipal Bodies||Nimapara NAC,2025_ORULB_121580_4,NP-NAC-03/2025-26,Construction of Aspirational Toilet at Dolobedi Chowk Ward No-07 of Nimapara NAC For 2025-26.,"Sasmita Sahoo, Chairperson",Internal,"E.O, Nimapara NAC, M.E, Nimapara NAC, Asst.Engineer, NimaparaNAC,Asst.Engineer, Nimapara Block, Asst.Engineer, PHD WATCO, Nimapara.",Chinmaya Das,08-Apr-2026 02:27 PM,techsummary_565893.pdf (408.39 KB),1,3274031,AKSHAYA KUMAR BEHERA,03-Dec-2025 11:45 AM,Accepted-AOC,Awarded as L1 bidder through lucky draw.,08-Apr-2026 04:49 PM,08-Apr-2026,"INR 1,693,318",90.0,Chinmaya Das,08-Apr-2026 04:48 PM,WOSL4.pdf (144.00 KB),AKHAYA KUMAR BEHERA is awarded as L1 bidder through lucky draw.,AOC,Municipal Bodies||Nimapara NAC,NP-NAC-03/2025-26,2025_ORULB_121580_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Aspirational Toilet at Dolobedi Chowk Ward No-07 of Nimapara NAC For 2025-26.,Construction of Aspirational Toilet at Dolobedi Chowk Ward No-07 of Nimapara NAC For 2025-26.,Please refer Tender documents. ,NA ,"16,93,318",Civil Works - Others,NA ,Tender,120.0,90.0,NAC NIMAPARA,752106.0,NA ,NA ,NA ,OFFICE OF THE NAC NIMAPARA,No ,No,"EXECUTIVE OFFICER, NAC NIMAPARA","AT/PO-NIMAPARA,DIST-PURI,752106",1.0,Fee/PreQual/Technical/Finance,.pdf,"GST CLEARANCE,PAN,REG.CERT,VALID LABOUR LICENSE,AFFIDAVIT,BID ACKNOWLEDGE,EXP IF ANY,ETC AS PER DTCN",1.0,ICICI BANK,"16,933",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,22-Nov-2025 09:00 AM,04-Dec-2025 11:00 AM,22-Nov-2025 10:00 AM,03-Dec-2025 05:00 PM,NA ,NA ,22-Nov-2025 10:00 AM,03-Dec-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3275290,BIBEKANANDA SITHA,03-Dec-2025 03:51 PM,Rejected-Technical,Not submitted all documents. disqualified.,08-Apr-2026 02:27 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3275247,BRAHMANANDA SASMAL,03-Dec-2025 03:36 PM,Rejected-Technical,Not submitted all documents. disqualified.,08-Apr-2026 02:27 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3271043,DEBASIS HARICHANDAN,03-Dec-2025 11:46 AM,Rejected-Technical,Not submitted all documents. disqualified.,08-Apr-2026 02:27 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3274234,DEBENDRANATH MAHARI,03-Dec-2025 11:47 AM,Rejected-Technical,Not submitted all documents. disqualified.,08-Apr-2026 02:27 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3275353,DEEPAK KUMAR MOHANTY,03-Dec-2025 04:06 PM,Rejected-Technical,Not submitted all documents and not fulfull as per conditions. disqualified.,08-Apr-2026 02:27 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3269415,KASHINATH BEHERA,03-Dec-2025 11:28 AM,Rejected-AOC,reject,08-Apr-2026 04:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3270757,NIRANJAN SAHOO,03-Dec-2025 12:48 PM,Rejected-Technical,Not submitted all documents and not fulfull as per conditions. disqualified.,08-Apr-2026 02:27 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3274419,PARAMESTI BEHERA,03-Dec-2025 12:41 PM,Rejected-Technical,Not submitted all documents. disqualified.,08-Apr-2026 02:27 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3267085,PRAVAT KUMAR MOHAPATRA,03-Dec-2025 05:44 AM,Rejected-AOC,Awarded as L2 bidder through lucky draw.,08-Apr-2026 04:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
